name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,aerialWon,wasFouled,fouls,aerialLost,errorLeadToAShot,keyPass,shotOffTarget,onTargetScoringAttempt,goals,goalAssist,bigChanceCreated,totalOffside,accurateCross,hitWoodwork,captain
José Carvallo,J. Carvallo,G,21,Peru,False,30.0,24.0,9.0,3.0,1.0,5.0,6.0,90.0,45.0,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johan Madrid,J. Madrid,D,32,Peru,False,25.0,19.0,6.0,3.0,0.0,0.0,0.0,58.0,49.0,5.6,14.0,2.0,5.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Ascues,C. Ascues,D,19,Peru,False,59.0,47.0,17.0,9.0,0.0,0.0,0.0,90.0,73.0,7.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Deneumostier,A. Deneumostier,D,5,Peru,False,45.0,32.0,9.0,3.0,0.0,0.0,0.0,77.0,61.0,6.6,15.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nilson Loyola,N. Loyola,D,29,Peru,False,22.0,13.0,4.0,1.0,0.0,0.0,0.0,45.0,33.0,6.1,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josepmir Ballón,J. Ballón,M,88,Peru,False,49.0,45.0,4.0,3.0,0.0,0.0,0.0,90.0,61.0,6.7,7.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Ysique,F. Ysique,M,8,Peru,False,65.0,57.0,9.0,7.0,0.0,0.0,0.0,90.0,74.0,7.1,9.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Da Silva,P. D. Silva,M,23,USA,False,5.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,6.6,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Óscar Barreto,Ó. Barreto,M,7,Colombia,False,8.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,7.5,8.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Ramirez,A. Ramirez,M,27,Peru,False,11.0,8.0,4.0,2.0,0.0,0.0,0.0,62.0,18.0,6.1,8.0,0.0,4.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yorleys Mena,Y Mena,F,17,Colombia,False,18.0,11.0,0.0,0.0,0.0,0.0,0.0,90.0,37.0,6.6,17.0,1.0,10.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,True
