name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,duelLost,interceptionWon,totalTackle,wasFouled,fouls,shotOffTarget,penaltyConceded,challengeLost,totalContest,onTargetScoringAttempt,dispossessed,wonContest,hitWoodwork,keyPass,accurateCross,captain
Diego Melián,D. Melián,G,1,Uruguay,False,22.0,10.0,16.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,90.0,33.0,7.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Perleche,A. Perleche,D,30,Peru,False,14.0,10.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,6.1,7.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Tovo,E. Tovo,D,2,Argentina,False,24.0,15.0,11.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,32.0,6.4,10.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Villegas,J. Villegas,D,4,Argentina,False,26.0,20.0,5.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,90.0,35.0,6.5,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horacio Benincasa,H. Benincasa,D,13,Peru,False,25.0,21.0,4.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,6.7,5.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Mendieta,J. Mendieta,D,15,Peru,False,15.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,27.0,6.5,14.0,1.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Canela,J. Canela,M,20,Peru,False,17.0,12.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,31.0,6.7,12.0,1.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
Federico Illanes,F. Illanes,M,8,Argentina,False,32.0,26.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,42.0,6.8,9.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Stefano Fernández,S. Fernández,M,16,Peru,False,18.0,11.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,25.0,6.5,7.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Castro,R. Castro,M,7,Argentina,False,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,28.0,6.5,9.0,7.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Adrián Fernández,A. Fernández,F,9,Paraguay,False,17.0,10.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,24.0,6.5,8.0,0.0,6.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Christian Vasquez,C. Vasquez,D,3,Peru,True,7.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,6.4,5.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hideyoshi Arakaki,H. Arakaki,F,17,Peru,True,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,6.6,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Roberto Siucho,R. Siucho,F,23,Peru,True,6.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,6.7,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Milesi,A. Milesi,D,21,Peru,True,8.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,6.3,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José De la Cruz,J. D. l. Cruz,F,19,Peru,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Prieto,D. Prieto,G,95,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Duclos,F. Duclos,D,55,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Flores,C. Flores,M,10,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Rebagliati,S. Rebagliati,F,18,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
