name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,outfielderBlock,shotOffTarget,blockedScoringAttempt,errorLeadToAGoal,ownGoals,wasFouled,totalContest,wonContest,onTargetScoringAttempt,totalOffside,goals,penaltyWon,captain
Ignacio Barrios,I. Barrios,G,1,Uruguay,False,15.0,13.0,8.0,6.0,1.0,3.0,3.0,1.0,90.0,21.0,6.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denilson Vargas,D. Vargas,D,17,Peru,False,18.0,15.0,3.0,3.0,2.0,0.0,0.0,0.0,72.0,37.0,6.4,9.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teodoro Paredes,T. Paredes,D,3,Paraguay,False,26.0,19.0,11.0,5.0,2.0,0.0,0.0,0.0,90.0,35.0,6.7,7.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Ramirez,C. Ramirez,D,20,Colombia,False,29.0,19.0,12.0,4.0,3.0,0.0,0.0,0.0,90.0,43.0,5.4,14.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Trujillo,L. Trujillo,D,27,Peru,False,19.0,15.0,3.0,1.0,4.0,0.0,0.0,0.0,80.0,32.0,6.3,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Piero Serra,P. Serra,M,31,Peru,False,39.0,36.0,8.0,6.0,1.0,0.0,0.0,0.0,85.0,53.0,6.7,5.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Sánchez,K. Sánchez,M,5,Peru,False,19.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,26.0,6.1,8.0,0.0,0.0,8.0,4.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Pérez,Hernán Pérez,M,10,Paraguay,False,13.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,21.0,6.3,8.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Millán,D. Millán,M,25,Colombia,False,17.0,15.0,4.0,4.0,0.0,0.0,0.0,0.0,45.0,23.0,6.4,5.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Angulo,B. Angulo,M,13,Ecuador,False,27.0,19.0,6.0,4.0,0.0,0.0,0.0,0.0,89.0,54.0,7.1,18.0,2.0,0.0,4.0,8.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0
Marlon de Jesús,M. d. Jesús,F,9,Ecuador,False,19.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,34.0,7.9,9.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0
Carlos Uribe,C. Uribe,M,19,Peru,True,31.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,37.0,6.6,8.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osama Vinladen,O. Vinladen,M,15,Peru,True,15.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,45.0,26.0,6.7,5.0,1.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Italo Regalado,I. Regalado,F,14,Peru,True,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,6.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gino Guerrero,G. Guerrero,M,0.0,Peru,True,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,6.4,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Labrin,V. Labrin,M,28,Peru,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willy Diaz,W. Díaz,G,12,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Salas,J. Salas,D,2,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Alvarez,J. Álvarez,D,23,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vieri Pérez,V. Pérez,M,4,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
