name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,duelLost,shotOffTarget,interceptionWon,fouls,keyPass,aerialWon,dispossessed,outfielderBlock,totalTackle,blockedScoringAttempt,totalContest,wonContest,hitWoodwork,challengeLost,totalOffside,captain
Manuel Heredia,M. Heredia,G,12,Peru,False,17.0,10.0,13.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0,90.0,25.0,6.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emilio Saba,E. Saba,D,4,Peru,False,21.0,14.0,9.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,90.0,42.0,6.1,10.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Cortave,M. Cortave,D,14,Argentina,False,16.0,11.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,90.0,24.0,6.1,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Rizzo,G. Rizzo,D,24,Uruguay,False,22.0,13.0,11.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,90.0,37.0,6.4,11.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Llontop,M. Llontop,D,13,Peru,False,25.0,16.0,8.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,90.0,48.0,6.5,16.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Vidales,J. Vidales,M,21,Peru,False,16.0,12.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,76.0,28.0,6.3,10.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Viera,G. Viera,M,6,Paraguay,False,25.0,18.0,6.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,69.0,32.0,6.9,8.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ángel Benítez,A. Benítez,M,16,Paraguay,False,16.0,10.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,90.0,26.0,6.3,9.0,0.0,1.0,6.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Cortés,J. Cortés,M,11,Colombia,False,14.0,11.0,1.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,90.0,38.0,7.3,12.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0
Matías Succar,M. Succar,F,9,Peru,False,12.0,9.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,90.0,27.0,6.2,10.0,1.0,5.0,10.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,True
Paolo Hurtado,P. Hurtado,M,33,Peru,False,17.0,10.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,69.0,24.0,6.4,11.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Gaona,M. Gaona,D,5,Peru,True,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Albarracín,N. Albarracín,M,10,Uruguay,True,8.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,11.0,6.2,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Percy Liza,P. Liza,F,17,Peru,True,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,6.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emile Franco,E. Franco,G,26,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Rabanal,E. Rabanal,D,27,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Eduardo Caballero,J. Caballero,D,31,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Gordillo,H. Gordillo,D,35,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willyan Mimbela,W. Mimbela,M,23,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Herrera,J. Herrera,M,8,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
