name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,aerialWon,duelLost,duelWon,bigChanceMissed,shotOffTarget,interceptionWon,totalTackle,challengeLost,fouls,outfielderBlock,wasFouled,keyPass,accurateCross,dispossessed,bigChanceCreated,blockedScoringAttempt,totalContest,wonContest,onTargetScoringAttempt,totalOffside,captain
Patricio Álvarez,P. Álvarez,G,1,Peru,False,31.0,25.0,11.0,5.0,3.0,1.0,2.0,90.0,37.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Rojas,F. Rojas,D,16,Peru,False,47.0,39.0,5.0,3.0,1.0,0.0,0.0,90.0,63.0,6.6,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Tapia,R. Tapia,D,27,Argentina,False,29.0,25.0,6.0,3.0,1.0,0.0,0.0,67.0,39.0,6.2,7.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Franco,D. Franco,D,13,Argentina,False,59.0,48.0,14.0,11.0,3.0,0.0,0.0,90.0,71.0,7.3,11.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Elsar Rodas,E. Rodas,D,6,Peru,False,26.0,11.0,1.0,0.0,1.0,0.0,0.0,83.0,46.0,6.5,22.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Soto,D. Soto,M,8,Peru,False,40.0,30.0,10.0,6.0,1.0,0.0,0.0,89.0,48.0,6.6,13.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddy Oncoy,F. Oncoy,M,23,Peru,False,53.0,42.0,3.0,1.0,0.0,0.0,0.0,90.0,59.0,6.6,12.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rafael Guarderas,R. Guarderas,M,5,Peru,False,70.0,51.0,7.0,2.0,3.0,0.0,0.0,90.0,89.0,6.8,21.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo De La Cruz,P. D. L. Cruz,M,10,Peru,False,23.0,20.0,3.0,1.0,0.0,0.0,0.0,90.0,35.0,6.9,9.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Neri Bandiera,N. Bandiera,F,11,Argentina,False,16.0,9.0,0.0,0.0,0.0,0.0,0.0,90.0,26.0,6.3,12.0,1.0,3.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
