name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelLost,challengeLost,totalClearance,totalOffside,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,accurateCross,aerialWon,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialLost,totalContest,wonContest,shotOffTarget,hitWoodwork,captain
Steven Rivadeneyra,S. Rivadeneyra,G,1,Peru,False,15.0,9.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,90.0,24.0,6.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edinson Chavez,E. Chavez,D,28,Peru,False,25.0,19.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,90.0,49.0,6.3,12.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavio Alcedo,F. Alcedo,D,3,Peru,False,41.0,36.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,90.0,52.0,6.9,8.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
Maximiliano Amondarain,M. Amondarain,D,5,Uruguay,False,43.0,37.0,9.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,90.0,52.0,6.5,6.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Rafael Lutiger,R. Lutiger,D,4,Peru,False,52.0,41.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,82.0,60.0,6.5,12.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cristian Carbajal,C. Carbajal,D,31,Peru,False,16.0,12.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,67.0,28.0,6.4,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jesús Barco,J. Barco,M,23,Peru,False,27.0,21.0,4.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,90.0,46.0,6.4,14.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Juan Morales,J. Morales,M,17,Peru,False,33.0,30.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,6.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,True
Francisco Grahl,F. Grahl,M,8,Argentina,False,27.0,19.0,5.0,3.0,8.0,3.0,4.0,0.0,0.0,0.0,67.0,40.0,6.7,10.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Cristian Techera,C. Techera,M,10,Uruguay,False,18.0,14.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,45.0,28.0,6.4,11.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Fabrizio Roca,F. Roca,F,9,Peru,False,17.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,82.0,24.0,6.3,9.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Gilmar Rodríguez,G. Rodríguez,F,18,Peru,True,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,6.6,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Renzo Salazar,R. Salazar,D,25,Peru,True,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,7.0,6.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Rios,J. Rios,M,22,Peru,True,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhonnier Montaño,J. Montaño,M,0.0,Colombia,True,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,6.6,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Palacios,B. Palacios,M,19,Peru,True,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,6.9,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismael Quispe,I. Quispe,G,12,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayrthon Quintana,A. Quintana,D,6,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Peña,K. Peña,M,30,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Cantt,J. Cantt,M,38,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
