name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,duelLost,duelWon,totalContest,interceptionWon,totalTackle,aerialLost,outfielderBlock,challengeLost,totalCross,onTargetScoringAttempt,wasFouled,wonContest,fouls,accurateCross,dispossessed,shotOffTarget,totalOffside,keyPass,blockedScoringAttempt,goals,captain
Carlos Cáceda,C. Cáceda,G,12,Peru,False,32.0,25.0,15.0,8.0,1.0,2.0,3.0,1.0,90.0,37.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Ramos,A. Ramos,D,4,Peru,False,30.0,24.0,4.0,2.0,1.0,0.0,0.0,0.0,65.0,46.0,6.8,9.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonel Galeano,L. Galeano,D,2,Argentina,False,44.0,39.0,6.0,5.0,0.0,0.0,0.0,0.0,90.0,54.0,7.4,6.0,2.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonel González,L. González,D,6,Argentina,False,43.0,34.0,14.0,8.0,4.0,0.0,0.0,0.0,84.0,58.0,7.3,11.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paolo Reyna,P. Reyna,D,19,Peru,False,40.0,31.0,4.0,1.0,1.0,0.0,0.0,0.0,90.0,57.0,7.1,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horacio Orzan,H. Orzan,M,8,Argentina,False,45.0,35.0,11.0,5.0,0.0,0.0,0.0,0.0,90.0,53.0,6.9,11.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Pierre Archimbaud,J. P. Archimbaud,D,17,Peru,False,32.0,24.0,6.0,3.0,1.0,0.0,0.0,0.0,90.0,40.0,6.6,10.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Bordacahar,C. Bordacahar,M,7,Argentina,False,37.0,24.0,6.0,1.0,1.0,0.0,0.0,0.0,90.0,62.0,6.6,26.0,0.0,10.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0
Tomás Martínez,T. Martínez,M,10,Argentina,False,30.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,85.0,47.0,7.4,8.0,0.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
Kenji Cabrera,K. Cabrera,M,26,Peru,False,21.0,16.0,6.0,4.0,1.0,0.0,0.0,0.0,65.0,31.0,7.7,7.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
Bernardo Cuesta,B. N. Cuesta,F,9,Argentina,False,14.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,23.0,6.4,11.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,True
Jefferson Caceres,J. Caceres,M,16,Peru,True,12.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,19.0,7.2,4.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter Tandazo,W. Tandazo,M,24,Peru,True,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,13.0,6.9,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Lazo,M. Lazo,D,33,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Lavandeira,P. Lavandeira,F,90,Peru,True,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,7.0,6.7,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Cabezudo,J. Cabezudo,G,21,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Cavero,S. Cavero,D,14,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Diarte,L. Diarte,D,3,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Sandoval,K. Sandoval,M,20,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Arias,A. Arias,M,28,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
