name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,duelLost,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,challengeLost,bigChanceCreated,keyPass,aerialLost,aerialWon,totalContest,dispossessed,shotOffTarget,wonContest,bigChanceMissed,onTargetScoringAttempt,captain
Patrick Zubczuk,P. Zubczuk,G,1,Peru,False,36.0,16.0,34.0,14.0,2.0,3.0,90.0,41.0,6.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Pedro Paulo Requena,P. Requena,D,25,Peru,False,19.0,12.0,7.0,2.0,0.0,0.0,90.0,41.0,7.1,10.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Mondino,D. Mondino,D,2,Argentina,False,16.0,6.0,8.0,1.0,0.0,0.0,90.0,29.0,6.8,10.0,1.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koichi Aparicio,K. Aparicio,D,4,Peru,False,18.0,13.0,7.0,3.0,0.0,0.0,90.0,32.0,7.1,6.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Valoyes,J. Valoyes,D,5,Colombia,False,15.0,6.0,2.0,0.0,0.0,0.0,90.0,33.0,6.4,15.0,7.0,7.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Pérez,J. Pérez,M,16,Peru,False,24.0,22.0,0.0,0.0,0.0,0.0,63.0,28.0,6.5,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Joel Sánchez,J. Sánchez,M,10,Peru,False,26.0,18.0,4.0,2.0,0.0,0.0,90.0,41.0,6.0,15.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
Ángel Ojeda,Á. Ojeda,M,8,Peru,False,17.0,12.0,0.0,0.0,0.0,0.0,86.0,28.0,6.6,8.0,6.0,3.0,0.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Fernandez,C. Fernandez,M,17,Peru,False,8.0,7.0,0.0,0.0,0.0,0.0,86.0,21.0,6.6,6.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Jarlin Quintero,J. Quintero,F,11,Colombia,False,18.0,9.0,2.0,1.0,0.0,0.0,90.0,33.0,5.9,17.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0
