name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalTackle,wasFouled,possessionLostCtrl,aerialLost,aerialWon,interceptionWon,penaltyConceded,fouls,totalOffside,accurateCross,keyPass,blockedScoringAttempt,shotOffTarget,captain
Aldair Ccorahua,A. Ccorahua,G,29,Peru,False,12.0,12.0,3.0,3.0,1.0,2.0,3.0,1.0,90.0,18.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Garro,L. Garro,D,15,Peru,False,49.0,45.0,5.0,4.0,0.0,0.0,0.0,0.0,90.0,75.0,6.8,2.0,5.0,6.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Minaya,D. Minaya,D,3,Peru,False,39.0,35.0,5.0,3.0,1.0,0.0,0.0,0.0,90.0,46.0,6.6,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minzun Quina,M. Quina,D,37,Peru,False,41.0,34.0,10.0,4.0,4.0,0.0,0.0,0.0,90.0,51.0,6.1,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Ángeles,H. Ángeles,D,2,Peru,False,41.0,36.0,5.0,2.0,0.0,0.0,0.0,0.0,90.0,64.0,6.8,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ricardo Salcedo,R. Salcedo,M,22,Peru,False,48.0,43.0,6.0,5.0,0.0,0.0,0.0,0.0,90.0,55.0,6.9,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,True
Matías Pérez García,M. P. García,M,27,Argentina,False,46.0,38.0,15.0,8.0,0.0,0.0,0.0,0.0,81.0,59.0,6.9,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
Carlos Ross,C. Ross,M,11,Chile,False,16.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,59.0,23.0,6.5,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Lliuya,M. Lliuya,M,10,Peru,False,77.0,67.0,12.0,10.0,0.0,0.0,0.0,0.0,90.0,93.0,7.0,5.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Jhonier Viveros,J. Viveros,M,14,Colombia,False,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,38.0,6.8,0.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Lucas Cano,L. Cano,F,9,Argentina,False,16.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,33.0,6.8,1.0,7.0,5.0,0.0,5.0,1.0,0.0,2.0,0.0,2.0,12.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Luis Benites,L. Benites,M,21,Peru,True,17.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,24.0,6.2,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Gómez,R. Gómez,M,20,Peru,True,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,6.2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Ronal Huaccha,R. Huaccha,F,19,Peru,True,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,6.5,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Ángel Pérez,Á. Pérez,D,24,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarek Carranza,T. Carranza,M,7,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Núñez,J. Núñez,M,8,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renato Espinosa,R. Espinosa,F,18,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesus Rossi,J. Rossi,0.0,1,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhan Cumbicus,J. Cumbicus,0.0,16,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
