name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,duelLost,challengeLost,dispossessed,outfielderBlock,interceptionWon,fouls,keyPass,aerialWon,totalTackle,totalCross,aerialLost,totalContest,wonContest,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,goals,bigChanceMissed,shotOffTarget,totalOffside,captain
Diego Penny,D. Penny,G,1,Peru,False,23.0,8.0,18.0,3.0,0.0,2.0,2.0,1.0,5.0,6.0,1.0,90.0,35.0,7.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Erick Perleche,E. Perleche,D,21,Peru,False,26.0,19.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,90.0,54.0,6.7,16.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Diego Lojas,J. D. Lojas,D,13,Peru,False,20.0,16.0,1.0,1.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,90.0,33.0,6.7,4.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Caicedo,L. Caicedo,D,4,Ecuador,False,26.0,23.0,6.0,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,90.0,38.0,6.7,3.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexi Edwin Gómez,A. E. Gómez,D,7,Peru,False,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Diez,C. Diez,M,14,Peru,False,6.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,73.0,11.0,6.3,3.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick Gonzales,E. Gonzales,M,31,Peru,False,28.0,21.0,6.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,90.0,39.0,6.6,8.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Erustes,P. Erustes,F,32,Argentina,False,11.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60.0,16.0,7.2,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Miguel Cornejo,M. Cornejo,M,19,Peru,False,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,6.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaspar Gentile,G. Gentile,M,11,Argentina,False,23.0,10.0,2.0,1.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,73.0,37.0,6.7,16.0,4.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
