name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,interceptionWon,wasFouled,aerialLost,outfielderBlock,fouls,totalContest,totalTackle,totalCross,totalOffside,dispossessed,onTargetScoringAttempt,keyPass,accurateCross,hitWoodwork,goals,wonContest,blockedScoringAttempt,captain
Andy Vidal,A. Vidal,G,13,Peru,False,26.0,20.0,12.0,7.0,0.0,3.0,1.0,1.0,2.0,90.0,39.0,7.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Ramirez,R. Ramirez,D,23,Venezuela,False,30.0,23.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,46.0,6.8,12.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bilbao,J. Bilbao,D,2,Peru,False,34.0,32.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,90.0,47.0,7.2,2.0,3.0,4.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Perez,A. Perez,D,6,Argentina,False,32.0,21.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,90.0,38.0,6.8,12.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
José Zevallos,J. Zevallos,D,14,Peru,False,35.0,29.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,90.0,55.0,7.1,11.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André Vasquez,A. Vasquez,M,20,Peru,False,16.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,22.0,6.6,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oswaldo Valenzuela,O. Valenzuela,M,16,Peru,False,40.0,35.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,90.0,51.0,6.8,9.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Colman,I. Colman,M,10,Argentina,False,43.0,39.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,81.0,63.0,8.1,12.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
Nicolás Silva,N. Silva,M,26,Argentina,False,15.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,22.0,6.7,8.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Luis Ramos,L. Ramos,F,9,Peru,False,13.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,67.0,22.0,6.4,8.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Colitto,L. Colitto,M,22,Argentina,False,20.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,88.0,37.0,8.3,14.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Miguel Aucca,M. Aucca,M,5,Peru,True,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,8.5,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Juan Tévez,J. Tévez,F,11,Argentina,True,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,15.0,6.9,4.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Pablo Cárdenas,P. Cárdenas,D,17,Chile,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.4,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Relly Fernández,R. Fernández,M,27,Peru,True,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eslyn Correa,E. Correa,M,29,Peru,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carlos Martin Solis,C. M. Solis,G,33,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonso Tamaríz,A. Tamaríz,D,19,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franz Schmidt,F. Schmidt,D,3,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Zarabia,S. Zarabia,M,15,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
