name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,aerialLost,duelLost,duelWon,interceptionWon,totalTackle,expectedAssists,aerialWon,fouls,accurateCross,challengeLost,wasFouled,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,expectedGoals,keyPass,dispossessed,outfielderBlock,onTargetScoringAttempt,totalOffside,goals,goalAssist,captain
Jean,Jean,G,13,Brazil,False,25.0,17.0,12.0,4.0,1.0,1.0,3.0,1.0,90.0,32.0,7.2,8.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Benítez,A. Benítez,D,2,Paraguay,False,47.0,38.0,3.0,2.0,2.0,0.0,0.0,0.0,90.0,64.0,7.3,13.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0354417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Javier Báez,C. J. Báez,D,24,Paraguay,False,58.0,44.0,18.0,8.0,3.0,0.0,0.0,0.0,90.0,63.0,7.0,14.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,0.00781682,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Brock,E. Brock,D,4,Brazil,False,62.0,49.0,9.0,4.0,4.0,0.0,0.0,0.0,90.0,73.0,7.0,13.0,0.0,1.0,3.0,5.0,6.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Arzamendia,S. Arzamendia,D,21,Paraguay,False,48.0,40.0,4.0,3.0,1.0,0.0,0.0,0.0,90.0,82.0,7.5,18.0,0.0,5.0,1.0,6.0,7.0,1.0,4.0,0.037052,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Fabrizio Peralta,F. Peralta,M,33,Paraguay,False,58.0,46.0,4.0,2.0,0.0,0.0,0.0,0.0,90.0,72.0,7.1,15.0,0.0,4.0,1.0,4.0,7.0,1.0,3.0,0.103833,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Morel,J. Morel,D,5,Paraguay,False,38.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,78.0,51.0,7.1,9.0,0.0,0.0,1.0,3.0,10.0,2.0,5.0,0.0082492,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Domínguez,C. Domínguez,M,10,Paraguay,False,20.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,64.0,42.0,7.0,15.0,0.0,7.0,1.0,6.0,5.0,1.0,1.0,0.0855136,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,1.0,0.038,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wílder Viera,W. Viera,M,20,Paraguay,False,25.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,64.0,38.0,7.0,8.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0,0.0162764,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.1125,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Juan Iturbe,J. Iturbe,F,11,Paraguay,False,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,44.0,7.2,12.0,0.0,3.0,0.0,4.0,8.0,0.0,2.0,0.0305495,2.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0294,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
