name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelWon,lastManTackle,totalTackle,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,accurateCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,wasFouled,expectedGoals,expectedAssists,errorLeadToAShot,fouls,challengeLost,onTargetScoringAttempt,hitWoodwork,keyPass,bigChanceCreated,bigChanceMissed,totalOffside,captain
Brayan Cortés,B. Cortés,G,1,Chile,False,25.0,22.0,8.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,36.0,7.4,3.0,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Saldivia,A. Saldivia,D,4,Uruguay,False,90.0,77.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,90.0,111.0,7.8,17.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,0.177,0.0390204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esteban Pavez,E. Pavez,M,8,Chile,False,79.0,79.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,90.0,89.0,7.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0530152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Maximiliano Falcón,M. Falcón,D,37,Uruguay,False,65.0,56.0,6.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,90.0,71.0,7.2,11.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0213,0.0619564,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Bolados,M. Bolados,F,11,Chile,False,17.0,14.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,62.0,34.0,7.0,12.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1749,0.00963521,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Leonardo Gil,L. Gil,M,5,Chile,False,94.0,85.0,9.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,90.0,130.0,7.8,22.0,0.0,10.0,4.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0349,0.289182,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Gonzalo Castellani,G. Castellani,M,19,Argentina,False,58.0,53.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,62.0,68.0,7.3,5.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0417791,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Vicente Pizarro,V. Pizarro,M,34,Chile,False,55.0,50.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,72.0,76.0,7.5,14.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0123,0.280516,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Arturo Vidal,Arturo Vidal,M,23,Chile,False,78.0,67.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,90.0,86.0,7.0,14.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1035,0.0384576,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Carlos Palacios,Carlos Palacios,F,7,Chile,False,48.0,43.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,75.0,7.1,17.0,0.0,5.0,2.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.2518,0.0841152,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0
