name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalTackle,fouls,keyPass,bigChanceMissed,onTargetScoringAttempt,interceptionWon,expectedGoals,totalCross,accurateCross,totalContest,wonContest,shotOffTarget,errorLeadToAShot,expectedAssists,goalAssist,dispossessed,bigChanceCreated,outfielderBlock,wasFouled,goals,blockedScoringAttempt,totalOffside,captain
Jean,Jean,G,13,Brazil,False,29.0,10.0,28.0,9.0,2.0,1.0,2.0,3.0,2.0,90.0,37.0,7.2,19.0,0.1737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Benítez,A. Benítez,D,2,Paraguay,False,21.0,15.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,90.0,33.0,6.6,10.0,0.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Javier Báez,C. J. Báez,D,24,Paraguay,False,19.0,11.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,90.0,35.0,6.8,8.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Brock,E. Brock,D,4,Brazil,False,17.0,12.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,90.0,28.0,6.6,5.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Arzamendia,S. Arzamendia,D,21,Paraguay,False,23.0,15.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,90.0,47.0,6.5,14.0,0.0,0.0,1.0,7.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0042,3.0,2.0,3.0,1.0,1.0,1.0,0.0408591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabrizio Peralta,F. Peralta,M,33,Paraguay,False,22.0,19.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,88.0,40.0,7.2,7.0,0.0,5.0,0.0,9.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.187308,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Piris da Motta,R. Piris,M,26,Paraguay,False,19.0,14.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,90.0,39.0,7.5,6.0,0.0,2.0,2.0,3.0,9.0,0.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Juan Iturbe,J. Iturbe,F,11,Paraguay,False,9.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,22.0,7.2,10.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0308,3.0,1.0,3.0,1.0,0.0,0.0,0.00502858,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Federico Carrizo,F. Carrizo,M,8,Argentina,False,19.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,6.8,6.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cecilio Domínguez,C. Domínguez,M,10,Paraguay,False,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,32.0,6.4,15.0,0.0,1.0,1.0,10.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0085,3.0,0.0,8.0,3.0,0.0,0.0,0.0540409,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0
