name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,totalTackle,interceptionWon,errorLeadToAGoal,totalContest,wonContest,outfielderBlock,totalCross,accurateCross,wasFouled,fouls,expectedAssists,onTargetScoringAttempt,goals,expectedGoals,keyPass,blockedScoringAttempt,shotOffTarget,goalAssist,captain
Brayan Cortés,B. Cortés,G,1,Chile,False,43.0,29.0,20.0,7.0,4.0,2.0,1.0,1.0,90.0,53.0,7.0,14.0,-0.1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Saldivia,A. Saldivia,D,4,Uruguay,False,50.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,59.0,6.3,9.0,0.0,6.0,1.0,8.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esteban Pavez,E. Pavez,M,8,Chile,False,65.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,69.0,6.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Maximiliano Falcón,M. Falcón,D,37,Uruguay,False,56.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,68.0,6.8,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Bolados,M. Bolados,F,11,Chile,False,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,71.0,26.0,6.4,10.0,0.0,1.0,0.0,9.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0224867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arturo Vidal,Arturo Vidal,M,23,Chile,False,43.0,37.0,6.0,4.0,0.0,0.0,0.0,0.0,90.0,55.0,7.0,8.0,0.0,3.0,1.0,8.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0219469,1.0,1.0,0.0301,1.0,0.0,0.0,0.0,0.0
Vicente Pizarro,V. Pizarro,M,34,Chile,False,32.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,71.0,41.0,6.5,3.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0328,0.0,1.0,0.0,0.0,0.0
Leonardo Gil,L. Gil,M,5,Chile,False,33.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,88.0,46.0,6.8,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0182235,0.0,0.0,0.0393,0.0,0.0,1.0,0.0,0.0
Erick Wiemberg,E. Wiemberg,D,21,Chile,False,31.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,90.0,59.0,7.0,14.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damián Pizarro,D. Pizarro,F,9,Chile,False,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,20.0,5.5,10.0,0.0,0.0,0.0,9.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0
Carlos Palacios,Carlos Palacios,F,7,Chile,False,34.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,45.0,6.6,13.0,0.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0421167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Óscar Opazo,Ó. Opazo,D,16,Chile,True,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristián Zavala,C. Zavala,F,14,Chile,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,6.6,3.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0775495,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Guillermo Paiva,G. Paiva,F,29,Paraguay,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,6.6,4.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Amor,E. Amor,D,15,Syria,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando de Paul,F. d. Paul,G,30,Chile,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiro González,R. González,D,33,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Gutiérrez,B. Gutiérrez,D,13,Chile,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Soto,L. Soto,M,28,Chile,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Castellani,G. Castellani,M,19,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Moya,M. Moya,F,26,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
