name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,aerialLost,duelLost,totalContest,interceptionWon,expectedAssists,wonContest,totalClearance,fouls,challengeLost,dispossessed,accurateCross,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,totalTackle,expectedGoals,keyPass,bigChanceCreated,outfielderBlock,totalOffside,bigChanceMissed,hitWoodwork,captain
Fábio,Fábio,G,1,Brazil,False,19.0,13.0,7.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,7.0,2.0,2.0,90.0,33.0,7.6,6.0,-0.4663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guga,Guga,D,23,Brazil,False,35.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,47.0,6.4,9.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0259956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Martinelli,M. Martinelli,M,8,Brazil,False,100.0,95.0,3.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,107.0,6.8,7.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0303487,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Melo,F. Melo,D,30,Brazil,False,60.0,56.0,4.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,69.0,6.8,7.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0144792,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marcelo,Marcelo,D,12,Brazil,False,57.0,49.0,7.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,7.8,15.0,0.0,6.0,1.0,3.0,2.0,1.0,0.421155,2.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1591,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Lima,Lima,M,45,Brazil,False,63.0,55.0,2.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,73.0,6.8,10.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0117214,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexsander,Alexsander,M,5,Brazil,False,37.0,34.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,52.0,6.3,10.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0143867,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0146,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Arias,J. Arias,M,21,Colombia,False,53.0,48.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,72.0,7.5,16.0,0.0,2.0,3.0,10.0,3.0,0.0,0.280774,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0356,2.0,1.0,1.0,1.0,0.0,0.0,0.0
John Kennedy,John Kennedy,F,9,Brazil,False,15.0,12.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,33.0,6.8,12.0,0.0,0.0,1.0,9.0,5.0,0.0,0.0139905,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.4085,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Keno,Keno,M,11,Brazil,False,21.0,17.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,29.0,7.4,6.0,0.0,1.0,2.0,3.0,1.0,0.0,0.00659241,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9455,0.0,0.0,0.0,1.0,0.0,1.0,0.0
