name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialLost,dispossessed,totalCross,challengeLost,shotOffTarget,accurateCross,totalContest,wonContest,totalOffside,bigChanceCreated,onTargetScoringAttempt,goals,goalAssist,bigChanceMissed,penaltyWon,penaltyMiss,captain
Franco Saravia,F. Saravia,G,32,Peru,False,20.0,14.0,11.0,6.0,1.0,1.0,90.0,25.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,48.0,40.0,7.0,4.0,0.0,0.0,90.0,64.0,7.1,9.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,False,22.0,17.0,2.0,1.0,0.0,0.0,64.0,27.0,6.6,7.0,3.0,3.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,48.0,39.0,10.0,6.0,0.0,0.0,90.0,69.0,6.9,15.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,23.0,14.0,3.0,2.0,0.0,0.0,90.0,48.0,7.0,23.0,3.0,6.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,25.0,20.0,1.0,1.0,0.0,0.0,86.0,39.0,6.8,10.0,1.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,70.0,59.0,9.0,7.0,0.0,0.0,90.0,81.0,8.3,15.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,26.0,12.0,6.0,0.0,0.0,0.0,63.0,33.0,6.6,16.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,False,17.0,7.0,5.0,1.0,0.0,0.0,72.0,27.0,6.6,12.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,5.0,3.0,0.0,0.0,0.0,0.0,90.0,8.0,7.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,30.0,19.0,3.0,0.0,0.0,0.0,90.0,46.0,5.9,19.0,1.0,6.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True
