name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalCross,accurateCross,totalContest,dispossessed,wonContest,goals,challengeLost,goalAssist,bigChanceCreated,bigChanceMissed,hitWoodwork,outfielderBlock,captain
Franco Saravia,F. Saravia,G,32,Peru,False,20.0,17.0,5.0,2.0,1.0,1.0,90.0,25.0,6.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,36.0,25.0,8.0,2.0,0.0,0.0,90.0,57.0,7.0,14.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,47.0,45.0,5.0,4.0,0.0,0.0,90.0,53.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,64.0,60.0,11.0,8.0,0.0,0.0,90.0,82.0,7.6,6.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,False,19.0,15.0,1.0,0.0,0.0,0.0,72.0,40.0,6.4,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,46.0,34.0,12.0,7.0,0.0,0.0,90.0,63.0,8.0,17.0,3.0,4.0,8.0,8.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,66.0,61.0,5.0,4.0,0.0,0.0,84.0,80.0,7.2,11.0,0.0,2.0,5.0,4.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Costa,G. Costa,M,8,Peru,False,40.0,33.0,3.0,3.0,0.0,0.0,84.0,60.0,8.3,15.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,17.0,12.0,0.0,0.0,0.0,0.0,64.0,40.0,8.2,15.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,6.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,14.0,9.0,1.0,1.0,0.0,0.0,64.0,21.0,8.0,9.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,True
Cecilio Waterman,C. Waterman,F,30,Panama,False,12.0,11.0,0.0,0.0,0.0,0.0,90.0,28.0,6.6,8.0,0.0,0.0,7.0,3.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,True,16.0,11.0,0.0,0.0,0.0,0.0,26.0,20.0,6.7,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,True,2.0,2.0,0.0,0.0,0.0,0.0,26.0,4.0,7.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,True,7.0,6.0,0.0,0.0,0.0,0.0,18.0,15.0,7.4,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,3.0,3.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Guzmán,V. Guzmán,F,24,Peru,True,5.0,4.0,0.0,0.0,0.0,0.0,10.0,9.0,6.8,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel De la Cruz,Á. D. l. Cruz,G,12,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
