name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,duelLost,challengeLost,dispossessed,onTargetScoringAttempt,outfielderBlock,interceptionWon,totalTackle,fouls,shotOffTarget,wasFouled,totalCross,accurateCross,totalContest,wonContest,keyPass,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,penaltyWon,goals,captain
Ángel De la Cruz,Á. D. l. Cruz,G,12,Peru,False,23.0,20.0,10.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,90.0,32.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,51.0,41.0,10.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,90.0,70.0,7.2,11.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,46.0,41.0,6.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,88.0,52.0,6.8,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,52.0,39.0,16.0,9.0,3.0,10.0,5.0,0.0,0.0,0.0,90.0,81.0,7.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,10.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,70.0,32.0,6.7,11.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,36.0,23.0,6.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,90.0,55.0,7.6,20.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,9.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,53.0,41.0,8.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,90.0,74.0,7.7,13.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,13.0,10.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,57.0,24.0,6.7,8.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,20.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,70.0,43.0,6.4,19.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,14.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,90.0,24.0,7.1,11.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
