name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,duelLost,duelWon,dispossessed,totalTackle,wasFouled,fouls,totalOffside,aerialLost,aerialWon,challengeLost,outfielderBlock,interceptionWon,shotOffTarget,totalClearance,bigChanceCreated,onTargetScoringAttempt,goals,keyPass,accurateCross,blockedScoringAttempt,totalContest,wonContest,bigChanceMissed,goalAssist,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,10.0,7.0,4.0,1.0,1.0,90.0,16.0,6.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,17.0,14.0,3.0,2.0,0.0,70.0,34.0,7.0,10.0,2.0,4.0,6.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,51.0,41.0,10.0,3.0,0.0,90.0,68.0,6.9,12.0,0.0,9.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,False,55.0,49.0,4.0,1.0,0.0,45.0,59.0,6.8,6.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,66.0,56.0,8.0,3.0,0.0,90.0,76.0,7.3,11.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,34.0,24.0,12.0,8.0,0.0,90.0,55.0,8.2,18.0,3.0,1.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,False,17.0,15.0,0.0,0.0,0.0,45.0,28.0,6.6,7.0,2.0,4.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,58.0,52.0,5.0,2.0,0.0,90.0,80.0,8.3,16.0,12.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,27.0,23.0,1.0,1.0,0.0,69.0,36.0,6.8,8.0,1.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,11.0,6.0,0.0,0.0,0.0,82.0,19.0,6.8,8.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,25.0,20.0,3.0,2.0,0.0,90.0,32.0,7.7,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Catriel Cabellos,C. Cabellos,M,27,Peru,True,14.0,13.0,2.0,1.0,0.0,45.0,18.0,7.5,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,True,9.0,8.0,1.0,1.0,0.0,45.0,18.0,6.7,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,11.0,6.0,4.0,1.0,0.0,21.0,16.0,6.7,8.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
