name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wasFouled,fouls,shotOffTarget,blockedScoringAttempt,totalCross,keyPass,aerialLost,dispossessed,outfielderBlock,goalAssist,accurateCross,bigChanceCreated,totalOffside,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,29.0,24.0,12.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,33.0,7.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,30.0,23.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,51.0,8.0,9.0,2.0,3.0,8.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,36.0,27.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,90.0,51.0,7.6,9.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,52.0,31.0,17.0,5.0,3.0,0.0,0.0,0.0,0.0,90.0,73.0,7.3,24.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,21.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,89.0,46.0,7.6,19.0,1.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,14.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,21.0,5.8,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,19.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,28.0,6.6,9.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,50.0,36.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,90.0,64.0,7.5,18.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,15.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,32.0,6.3,14.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,False,16.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,7.0,7.0,0.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
