name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,totalCross,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,goalAssist,accurateCross,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,19.0,15.0,7.0,3.0,90.0,22.0,6.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,36.0,35.0,4.0,4.0,90.0,47.0,7.4,2.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,34.0,27.0,4.0,2.0,83.0,38.0,6.7,8.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,50.0,35.0,15.0,6.0,90.0,66.0,7.3,19.0,2.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,31.0,25.0,0.0,0.0,88.0,50.0,7.5,10.0,1.0,0.0,5.0,5.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,26.0,23.0,5.0,4.0,66.0,36.0,7.0,7.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,51.0,44.0,10.0,6.0,90.0,79.0,8.2,15.0,0.0,0.0,5.0,9.0,0.0,3.0,0.0,4.0,3.0,1.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,26.0,23.0,2.0,2.0,67.0,35.0,7.6,5.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,28.0,21.0,2.0,0.0,90.0,47.0,6.7,15.0,1.0,1.0,5.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,12.0,10.0,1.0,1.0,83.0,22.0,7.5,4.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
