name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wasFouled,keyPass,challengeLost,fouls,blockedScoringAttempt,accurateCross,bigChanceCreated,totalOffside,goals,goalAssist,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,9.0,8.0,2.0,1.0,1.0,1.0,90.0,11.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,68.0,59.0,8.0,3.0,0.0,0.0,90.0,99.0,7.9,14.0,1.0,3.0,2.0,5.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,60.0,54.0,6.0,4.0,0.0,0.0,85.0,67.0,7.1,7.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,72.0,62.0,12.0,6.0,0.0,0.0,90.0,89.0,7.5,14.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,92.0,83.0,6.0,3.0,0.0,0.0,90.0,115.0,8.1,16.0,5.0,0.0,3.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,20.0,14.0,0.0,0.0,0.0,0.0,85.0,55.0,7.1,23.0,8.0,1.0,0.0,9.0,5.0,2.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,45.0,39.0,5.0,4.0,0.0,0.0,90.0,54.0,7.6,8.0,1.0,0.0,1.0,0.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,54.0,45.0,6.0,2.0,0.0,0.0,59.0,63.0,6.8,13.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,29.0,24.0,0.0,0.0,0.0,0.0,70.0,39.0,6.7,8.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Gabriel Costa,G. Costa,M,8,Peru,False,36.0,28.0,2.0,2.0,0.0,0.0,70.0,50.0,7.3,15.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,13.0,6.0,0.0,0.0,0.0,0.0,90.0,29.0,7.5,15.0,0.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,True
Jeriel De Santis,J. D. Santis,F,18,Venezuela,True,7.0,5.0,1.0,0.0,0.0,0.0,31.0,14.0,7.2,5.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,True,3.0,3.0,0.0,0.0,0.0,0.0,20.0,6.0,6.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,14.0,13.0,1.0,1.0,0.0,0.0,20.0,19.0,7.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,True,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
