name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,duelLost,duelWon,totalTackle,fouls,keyPass,aerialLost,onTargetScoringAttempt,totalClearance,outfielderBlock,challengeLost,interceptionWon,wasFouled,shotOffTarget,totalCross,dispossessed,totalContest,wonContest,penaltyWon,accurateCross,goals,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,17.0,14.0,12.0,9.0,3.0,4.0,90.0,26.0,7.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yordi Vílchez,Y. Vílchez,D,31,Peru,False,29.0,24.0,1.0,0.0,0.0,0.0,45.0,34.0,6.6,8.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,False,38.0,35.0,7.0,4.0,0.0,0.0,90.0,51.0,7.7,3.0,1.0,4.0,6.0,5.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,40.0,31.0,4.0,0.0,0.0,0.0,90.0,53.0,6.9,10.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,53.0,48.0,3.0,0.0,0.0,0.0,90.0,64.0,7.3,6.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marco Huaman,M. Huaman,D,25,Peru,False,22.0,20.0,3.0,3.0,0.0,0.0,90.0,39.0,7.4,7.0,0.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,43.0,35.0,7.0,3.0,0.0,0.0,83.0,56.0,7.1,14.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,32.0,27.0,2.0,0.0,0.0,0.0,69.0,38.0,6.7,6.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,19.0,16.0,1.0,1.0,0.0,0.0,90.0,32.0,6.9,6.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,10.0,7.0,0.0,0.0,0.0,0.0,61.0,21.0,6.6,9.0,1.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,False,10.0,6.0,3.0,0.0,0.0,0.0,45.0,16.0,6.2,9.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,True,25.0,20.0,6.0,3.0,0.0,0.0,45.0,36.0,7.3,5.0,0.0,2.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,True,11.0,5.0,1.0,0.0,0.0,0.0,45.0,17.0,8.2,8.0,2.0,5.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,True,4.0,4.0,0.0,0.0,0.0,0.0,29.0,8.0,6.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
