name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialWon,duelLost,duelWon,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,challengeLost,bigChanceMissed,accurateCross,aerialLost,dispossessed,outfielderBlock,wasFouled,keyPass,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,shotOffTarget,captain
Franco Saravia,F. Saravia,G,32,Peru,False,10.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,90.0,15.0,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,39.0,34.0,3.0,3.0,0.0,0.0,0.0,0.0,90.0,58.0,7.7,6.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,49.0,45.0,10.0,8.0,0.0,0.0,0.0,0.0,90.0,59.0,6.7,5.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,59.0,50.0,11.0,5.0,0.0,0.0,0.0,0.0,90.0,77.0,7.7,13.0,5.0,6.0,4.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,30.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,45.0,33.0,6.4,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,6.4,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,34.0,28.0,2.0,1.0,2.0,0.0,0.0,0.0,83.0,42.0,7.6,8.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,62.0,54.0,6.0,6.0,0.0,0.0,0.0,0.0,90.0,86.0,8.1,17.0,10.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,35.0,7.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,22.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,45.0,7.1,20.0,8.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,7.2,10.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True
Jeriel De Santis,J. D. Santis,F,18,Venezuela,True,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,5.9,5.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,True,23.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,36.0,6.7,10.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,True,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,6.4,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
