name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialLost,duelLost,saves,minutesPlayed,touches,rating,possessionLostCtrl,duelWon,totalTackle,wasFouled,fouls,totalCross,dispossessed,shotOffTarget,totalClearance,interceptionWon,bigChanceCreated,keyPass,totalOffside,blockedScoringAttempt,accurateCross,onTargetScoringAttempt,aerialWon,challengeLost,totalContest,wonContest,bigChanceMissed,captain
Franco Saravia,F. Saravia,G,32,Peru,False,20.0,19.0,4.0,3.0,0.0,1.0,1.0,3.0,90.0,28.0,6.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,33.0,29.0,1.0,1.0,0.0,1.0,2.0,0.0,90.0,50.0,6.3,6.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,23.0,16.0,5.0,3.0,0.0,1.0,2.0,0.0,45.0,25.0,6.4,7.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,74.0,59.0,9.0,1.0,0.0,1.0,3.0,0.0,90.0,92.0,6.3,20.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,58.0,50.0,8.0,4.0,0.0,3.0,4.0,0.0,90.0,66.0,7.0,11.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,False,13.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,45.0,27.0,6.5,10.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,45.0,9.0,6.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,58.0,45.0,9.0,6.0,0.0,0.0,2.0,0.0,90.0,80.0,7.0,27.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,False,20.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,74.0,31.0,6.6,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,10.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,15.0,6.7,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
