name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,saves,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,expectedAssists,aerialLost,outfielderBlock,onTargetScoringAttempt,expectedGoals,accurateCross,blockedScoringAttempt,shotOffTarget,totalOffside,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,32.0,14.0,25.0,7.0,1.0,90.0,35.0,6.2,18.0,-0.6449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,32.0,28.0,3.0,1.0,0.0,90.0,57.0,6.9,11.0,0.0,2.0,2.0,6.0,5.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,0.0492007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,27.0,23.0,3.0,2.0,0.0,90.0,40.0,6.7,4.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Renzo Garces,R. Garces,D,6,Peru,False,23.0,17.0,5.0,0.0,0.0,90.0,42.0,7.0,7.0,0.0,0.0,4.0,3.0,8.0,0.0,0.0,1.0,1.0,9.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,False,16.0,11.0,2.0,2.0,0.0,69.0,37.0,7.2,11.0,0.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0288802,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,18.0,12.0,0.0,0.0,0.0,87.0,34.0,6.6,12.0,0.0,0.0,1.0,8.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0492,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,39.0,30.0,4.0,2.0,0.0,90.0,57.0,7.2,10.0,0.0,2.0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,4.0,1.0,3.0,3.0,1.0,1.0,0.039221,1.0,0.0,1.0,0.08,2.0,1.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,24.0,18.0,3.0,1.0,0.0,90.0,39.0,6.7,9.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.00713868,1.0,1.0,0.0,0.0742,0.0,0.0,1.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,28.0,22.0,3.0,1.0,0.0,90.0,65.0,7.0,16.0,0.0,0.0,3.0,6.0,8.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0189,0.0,0.0,2.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,14.0,10.0,1.0,1.0,0.0,87.0,40.0,6.8,15.0,0.0,0.0,1.0,10.0,6.0,0.0,5.0,6.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0230874,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,9.0,5.0,1.0,0.0,0.0,69.0,14.0,6.4,5.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Yordi Vílchez,Y. Vílchez,D,31,Peru,True,11.0,9.0,1.0,0.0,0.0,21.0,13.0,6.3,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,True,3.0,1.0,0.0,0.0,0.0,21.0,12.0,6.7,7.0,0.0,0.0,1.0,6.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0958,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,5.0,2.0,0.0,0.0,0.0,12.0,7.0,6.4,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,True,2.0,2.0,0.0,0.0,0.0,12.0,5.0,6.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0376,0.0,0.0,1.0,0.0,0.0
Ángel De la Cruz,Á. D. l. Cruz,G,12,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Saravia,F. Saravia,G,32,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Arias,B. Arias,D,23,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Amasifuen,N. Amasifuen,D,4,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Aranda,S. Aranda,D,21,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
