name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,expectedGoals,wasFouled,outfielderBlock,totalCross,challengeLost,dispossessed,blockedScoringAttempt,keyPass,expectedAssists,accurateCross,totalOffside,shotOffTarget,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,34.0,18.0,23.0,7.0,2.0,4.0,1.0,1.0,90.0,40.0,7.5,16.0,0.5887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,17.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,90.0,30.0,6.9,10.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,29.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,90.0,39.0,6.8,11.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,24.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,90.0,42.0,7.6,7.0,0.0,1.0,2.0,3.0,6.0,1.0,1.0,0.0,5.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,24.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,90.0,57.0,7.2,23.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0116,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0163343,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,15.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,6.3,11.0,0.0,3.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0454,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,30.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0,90.0,55.0,7.0,19.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,2.0,0.106026,2.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,21.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,85.0,29.0,6.7,6.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,6.4,16.0,0.0,1.0,1.0,8.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.1239,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0529744,0.0,2.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,10.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,61.0,17.0,6.8,6.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123981,0.0,0.0,1.0,True
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,35.0,7.3,13.0,0.0,1.0,2.0,3.0,11.0,3.0,3.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0219323,0.0,0.0,0.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,True,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,6.9,5.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2017,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,True,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,6.2,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,True,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
