name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,aerialLost,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,expectedGoals,expectedAssists,totalCross,blockedScoringAttempt,dispossessed,onTargetScoringAttempt,keyPass,goalAssist,accurateCross,totalContest,wonContest,bigChanceCreated,bigChanceMissed,goals,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,15.0,12.0,4.0,1.0,3.0,4.0,90.0,29.0,7.0,3.0,0.4883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,36.0,30.0,2.0,0.0,0.0,0.0,55.0,53.0,7.0,7.0,0.0,2.0,3.0,5.0,7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.1268,0.0140977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,57.0,50.0,7.0,5.0,0.0,0.0,90.0,71.0,7.1,9.0,0.0,1.0,3.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,2.0,0.0154,0.0130804,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,53.0,47.0,6.0,4.0,0.0,0.0,90.0,73.0,7.4,8.0,0.0,3.0,2.0,9.0,8.0,3.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0991,0.0060489,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,58.0,43.0,2.0,0.0,0.0,0.0,90.0,87.0,8.4,27.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0435,0.398145,15.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,26.0,16.0,1.0,1.0,0.0,0.0,90.0,75.0,7.3,35.0,0.0,1.0,0.0,10.0,10.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0229,0.196042,13.0,0.0,2.0,0.0,3.0,0.0,4.0,10.0,4.0,1.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,23.0,13.0,5.0,1.0,0.0,0.0,55.0,25.0,6.2,11.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00565469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,15.0,13.0,0.0,0.0,0.0,0.0,45.0,22.0,6.8,3.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0233,0.0262399,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,58.0,45.0,14.0,6.0,0.0,0.0,90.0,77.0,7.0,18.0,0.0,0.0,4.0,5.0,8.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0504,0.147693,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,12.0,6.0,2.0,1.0,0.0,0.0,90.0,17.0,7.2,7.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646,0.043677,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
Jeriel De Santis,J. D. Santis,F,18,Venezuela,False,7.0,4.0,1.0,0.0,0.0,0.0,76.0,24.0,7.1,7.0,0.0,0.0,2.0,4.0,7.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,0.1454,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
