name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,duelLost,challengeLost,interceptionWon,totalTackle,keyPass,totalContest,wasFouled,fouls,expectedAssists,bigChanceCreated,outfielderBlock,totalOffside,aerialLost,totalCross,wonContest,shotOffTarget,expectedGoals,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,accurateCross,bigChanceMissed,goals,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,12.0,9.0,6.0,3.0,1.0,1.0,1.0,1.0,86.0,15.0,6.4,3.0,-0.4695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,9.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,13.0,6.7,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,30.0,23.0,10.0,4.0,2.0,7.0,2.0,0.0,90.0,41.0,6.5,8.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.00909417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,21.0,20.0,2.0,1.0,1.0,5.0,2.0,0.0,85.0,36.0,7.3,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,0.337276,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,22.0,18.0,3.0,1.0,0.0,3.0,2.0,0.0,83.0,31.0,6.8,6.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0117524,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,11.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,83.0,20.0,6.5,8.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,28.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,90.0,38.0,6.6,14.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0227061,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,42.0,35.0,8.0,4.0,0.0,2.0,0.0,0.0,90.0,55.0,6.9,12.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0608006,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.1154,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,36.0,23.0,10.0,2.0,3.0,10.0,2.0,0.0,90.0,65.0,7.0,21.0,0.0,4.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,0.0980452,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0099,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,15.0,10.0,1.0,0.0,1.0,5.0,0.0,0.0,90.0,37.0,6.3,15.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0216651,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.4663,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,15.0,8.0,1.0,1.0,8.0,10.0,0.0,0.0,90.0,28.0,7.9,10.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0113798,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.1876,0.0,1.0,0.0,0.0,0.0,1.0,True
Marco Huaman,M. Huaman,D,25,Peru,True,20.0,15.0,3.0,1.0,2.0,5.0,0.0,0.0,59.0,28.0,6.7,5.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Neira,C. Neira,M,17,Peru,True,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,6.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,True,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048742,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,True,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Saravia,F. Saravia,G,32,Peru,True,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yordi Vílchez,Y. Vílchez,D,31,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Guzmán,V. Guzmán,F,24,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
