name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,expectedAssists,aerialWon,dispossessed,shotOffTarget,errorLeadToAGoal,expectedGoals,bigChanceCreated,onTargetScoringAttempt,goals,outfielderBlock,blockedScoringAttempt,totalOffside,bigChanceMissed,captain
Franco Saravia,F. Saravia,G,32,Peru,False,16.0,10.0,10.0,4.0,0.0,3.0,4.0,90.0,22.0,6.8,6.0,-0.8123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,28.0,24.0,5.0,2.0,0.0,0.0,0.0,90.0,41.0,6.4,5.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0714915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,33.0,26.0,7.0,3.0,0.0,0.0,0.0,90.0,41.0,6.2,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.00640479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Juan Freytes,J. Freytes,D,2,Argentina,False,37.0,24.0,13.0,5.0,0.0,0.0,0.0,90.0,62.0,6.2,19.0,0.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0482392,1.0,1.0,2.0,1.0,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,13.0,10.0,3.0,1.0,1.0,0.0,0.0,90.0,31.0,7.5,6.0,0.0,3.0,1.0,0.0,3.0,8.0,3.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,0.110713,3.0,0.0,1.0,0.0,0.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,19.0,15.0,3.0,3.0,0.0,0.0,0.0,90.0,36.0,7.7,8.0,0.0,3.0,2.0,0.0,3.0,6.0,0.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,0.390922,0.0,0.0,0.0,0.0,0.0192,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,22,Argentina,False,24.0,15.0,2.0,0.0,0.0,0.0,0.0,83.0,40.0,7.2,13.0,0.0,0.0,0.0,3.0,5.0,5.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.00601185,2.0,0.0,0.0,0.0,0.0334,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,16.0,11.0,2.0,0.0,0.0,0.0,0.0,89.0,26.0,6.7,5.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0164108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,False,8.0,6.0,2.0,0.0,1.0,0.0,0.0,83.0,23.0,6.9,8.0,0.0,10.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.136395,1.0,0.0,1.0,0.0,0.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,10.0,9.0,0.0,0.0,0.0,0.0,0.0,90.0,34.0,7.4,9.0,0.0,4.0,3.0,1.0,11.0,5.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,0.344402,0.0,3.0,1.0,0.0,0.1955,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
