name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Cecilio Waterman,C. Waterman,F,30,65.4475,55.8575,40
Renzo Garces,R. Garces,D,6,26.08064516129,69.241935483871,31
Carlos Zambrano,C. Zambrano,D,5,23.952631578947,34.831578947368,38
Jiovany Ramos,J. Ramos,D,29,37.557142857143,22.911904761905,42
Jesús Castillo,J. Castillo,M,15,48.092857142857,72.221428571429,42
Catriel Cabellos,C. Cabellos,M,27,45.15,25.125,36
Kevin Serna,K. Serna,M,26,73.013513513514,54.940540540541,37
Ángelo Campos,Á. Campos,G,1,12.87380952381,56.185714285714,42
Franco Zanelatto,F. Zanelatto,M,7,72.8,59.066666666667,9
Hernán Barcos,H. Barcos,F,9,70.133333333333,41.85,6
Sebastián Rodríguez,S. Rodríguez,M,10,41.570909090909,51.330909090909,55
Aldair Fuentes,A. Fuentes,M,20,27.2,55.6,1
Marco Huaman,M. Huaman,D,25,47.725531914894,14.408510638298,47
Juan Freytes,J. Freytes,D,2,41.709677419355,86.403225806452,62
