Estadistica,Acertados,Intentados
Expected goals,1.08,
Ball possession,21.0,
Total shots,12.0,
Shots on target,4.0,
Shots off target,6.0,
Blocked shots,2.0,
Corner kicks,1.0,
Offsides,2.0,
Fouls,13.0,
Yellow cards,2.0,
Free kicks,11.0,
Throw-ins,20.0,
Goal kicks,5.0,
Big chances,2.0,
Big chances missed,2.0,
Counter attacks,4.0,
Counter attack shots,3.0,
Counter attack goals,1.0,
Shots inside box,8.0,
Shots outside box,4.0,
Goalkeeper saves,1.0,
Goals prevented,-0.16,
Passes,203.0,
Accurate passes,134.0,
Long balls,19.0,51.0
Crosses,2.0,11.0
Dribbles,7.0,9.0
Possession lost,111.0,
Duels won,53.0,
Aerials won,16.0,
Tackles,19.0,
Interceptions,8.0,
Clearances,18.0,
