name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,aerialWon,duelLost,duelWon,dispossessed,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,expectedAssists,fouls,aerialLost,totalCross,accurateCross,challengeLost,totalContest,wonContest,keyPass,bigChanceCreated,totalOffside,shotOffTarget,expectedGoals,blockedScoringAttempt,onTargetScoringAttempt,goals,goalAssist,bigChanceMissed,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,21.0,12.0,19.0,10.0,2.0,1.0,1.0,3.0,3.0,90.0,26.0,6.7,9.0,-0.1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,20.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,36.0,6.8,10.0,0.0,4.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0100195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,23.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,31.0,6.5,7.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Renzo Garces,R. Garces,D,6,Peru,False,16.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,26.0,6.7,5.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,False,17.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,33.0,6.6,8.0,0.0,1.0,7.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0481762,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,18.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,89.0,27.0,6.8,11.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0958079,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,28.0,24.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,44.0,6.8,12.0,0.0,0.0,6.0,4.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0298374,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,15.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,30.0,7.1,9.0,0.0,1.0,8.0,7.0,2.0,2.0,1.0,1.0,5.0,1.0,0.00927081,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,20.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,45.0,6.8,16.0,0.0,2.0,8.0,10.0,1.0,2.0,0.0,1.0,6.0,2.0,0.0205913,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1102,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,26.0,7.8,9.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.233948,1.0,4.0,4.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,0.2951,0.0,3.0,1.0,0.0,0.0,0.0
