name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Lelê,Lelê,F,18,58.058620689655,51.955172413793,29
Renato Augusto,Renato Augusto,M,20,59.989189189189,73.221621621622,37
Marcelo,Marcelo,D,12,51.89156626506,87.365060240964,83
Fábio,Fábio,G,1,7.4358974358974,49.692307692308,39
Lima,Lima,M,45,50.0484375,49.85,64
David Terans,David Terans,M,80,55.95,70.4,30
Felipe Melo,F. Melo,D,30,41.597802197802,69.003296703297,91
Kauã Elias,K. Elias,F,19,61.54375,61.16875,16
Douglas Costa,D. Costa,M,90,66.3425,19.245,40
Matheus Martinelli,M. Martinelli,M,8,47.33984375,38.7921875,128
Thiago Santos,Thiago Santos,D,29,37.809523809524,34.725396825397,63
André,André,M,7,49.851538461538,57.802307692308,130
Jhon Arias,J. Arias,M,21,60.269298245614,56.59649122807,114
Marquinhos,Marquinhos,M,77,62.357,52.888,100
Samuel Xavier,S. Xavier,D,2,53.253398058252,16.566990291262,103
