Estadistica,Acertados,Intentados
Expected goals,0.45,
Ball possession,79.0,
Total shots,11.0,
Shots on target,2.0,
Shots off target,4.0,
Blocked shots,5.0,
Corner kicks,2.0,
Offsides,1.0,
Fouls,11.0,
Yellow cards,1.0,
Free kicks,13.0,
Throw-ins,16.0,
Goal kicks,8.0,
Big chances,1.0,
Big chances missed,0.0,
Counter attacks,0.0,
Counter attack shots,0.0,
Counter attack goals,0.0,
Shots inside box,4.0,
Shots outside box,7.0,
Goalkeeper saves,3.0,
Goals prevented,0.31,
Passes,775.0,
Accurate passes,710.0,
Long balls,24.0,41.0
Crosses,3.0,18.0
Dribbles,13.0,26.0
Possession lost,114.0,
Duels won,56.0,
Aerials won,15.0,
Tackles,15.0,
Interceptions,10.0,
Clearances,15.0,
