Estadistica,Acertados,Intentados
Expected goals,1.43,
Ball possession,61.0,
Total shots,18.0,
Shots on target,5.0,
Shots off target,10.0,
Blocked shots,3.0,
Corner kicks,8.0,
Offsides,2.0,
Fouls,15.0,
Yellow cards,2.0,
Red cards,2.0,
Free kicks,14.0,
Throw-ins,24.0,
Goal kicks,11.0,
Big chances,2.0,
Big chances missed,2.0,
Hit woodwork,1.0,
Shots inside box,10.0,
Shots outside box,8.0,
Goalkeeper saves,4.0,
Passes,400.0,
Accurate passes,313.0,
Long balls,37.0,70.0
Crosses,6.0,21.0
Dribbles,5.0,9.0
Possession lost,143.0,
Duels won,44.0,
Aerials won,14.0,
Tackles,11.0,
Interceptions,5.0,
Clearances,3.0,
