name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelLost,errorLeadToAShot,fouls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,aerialWon,duelWon,totalContest,wonContest,totalClearance,interceptionWon,dispossessed,shotOffTarget,totalTackle,accurateCross,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,challengeLost,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,totalOffside,captain
Franco Saravia,F. Saravia,G,32,Peru,False,24.0,19.0,10.0,6.0,1.0,1.0,1.0,1.0,2.0,89.0,27.0,6.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,38.0,32.0,7.0,4.0,3.0,0.0,2.0,0.0,0.0,66.0,46.0,6.1,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,False,34.0,31.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,45.0,40.0,6.7,4.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,65.0,45.0,21.0,6.0,3.0,0.0,0.0,0.0,2.0,90.0,100.0,7.2,30.0,3.0,1.0,0.0,5.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,21.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,76.0,37.0,7.0,13.0,5.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,11.0,11.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,45.0,16.0,6.3,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,5,Argentina,False,42.0,33.0,4.0,3.0,6.0,0.0,2.0,0.0,0.0,90.0,50.0,6.8,10.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,44.0,38.0,6.0,5.0,2.0,0.0,2.0,0.0,0.0,76.0,56.0,7.6,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jhamir D´Arrigo,J. D´Arrigo,M,11,Peru,False,22.0,17.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,64.0,35.0,6.6,12.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,11.0,4.0,1.0,0.0,10.0,0.0,3.0,0.0,0.0,90.0,19.0,6.3,10.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
