name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,duelLost,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,challengeLost,shotOffTarget,dispossessed,totalContest,wonContest,onTargetScoringAttempt,goals,keyPass,totalCross,accurateCross,goalAssist,captain
Sebastián Britos,S. Britos,G,1,Uruguay,False,26.0,15.0,21.0,10.0,1.0,1.0,1.0,1.0,5.0,5.0,90.0,34.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldo Corzo,A. Corzo,D,29,Peru,False,22.0,17.0,5.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,90.0,36.0,7.3,5.0,3.0,4.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Williams Riveros,W. Riveros,D,3,Paraguay,False,29.0,25.0,4.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,90.0,35.0,7.0,4.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matías Di Benedetto,M. D. Benedetto,D,5,Argentina,False,28.0,18.0,9.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,90.0,41.0,6.8,11.0,1.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Polo,A. Polo,M,24,Peru,False,30.0,23.0,9.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,90.0,57.0,7.9,13.0,0.0,4.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Jairo Concha,J. Concha,M,17,Peru,False,11.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,45.0,18.0,6.6,6.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Murrugarra,J. Murrugarra,M,23,Peru,False,28.0,18.0,8.0,5.0,3.0,8.0,2.0,0.0,0.0,0.0,90.0,44.0,7.4,11.0,0.0,2.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christofer Gonzáles,C. Gonzales,M,8,Peru,False,9.0,6.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,61.0,21.0,6.8,7.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
Segundo Portocarrero,S. Portocarrero,D,34,Ecuador,False,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,61.0,11.0,6.7,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Edison Flores,E. Flores,F,19,Peru,False,23.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,89.0,33.0,7.1,11.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Diego Dorregaray,D. Dorregaray,F,35,Argentina,False,10.0,7.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,79.0,26.0,7.1,7.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Martín Pérez Guedes,M. P. Guedes,M,16,Argentina,True,19.0,14.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,45.0,28.0,6.8,7.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Horacio Calcaterra,H. Calcaterra,M,10,Peru,True,10.0,10.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,29.0,12.0,6.6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nelson Cabanillas,N. Cabanillas,M,27,Peru,True,10.0,6.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,29.0,17.0,6.8,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
José Rivera,J. Rivera,F,11,Peru,True,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,7.0,6.9,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuriel Celi,Y. Celi,M,7,Peru,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Romero,D. Romero,G,21,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piero Guzman,P. Guzman,D,30,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Saravia,M. Saravia,D,2,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Olivares,C. Olivares,F,33,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
