Estadistica,Acertados,Intentados
Expected goals,0.2,
Ball possession,40.0,
Total shots,5.0,
Shots on target,2.0,
Shots off target,2.0,
Blocked shots,1.0,
Corner kicks,0.0,
Offsides,1.0,
Fouls,8.0,
Yellow cards,4.0,
Free kicks,12.0,
Throw-ins,19.0,
Goal kicks,14.0,
Big chances,1.0,
Big chances missed,0.0,
Hit woodwork,0.0,
Counter attacks,2.0,
Counter attack shots,1.0,
Counter attack goals,1.0,
Shots inside box,1.0,
Shots outside box,4.0,
Goalkeeper saves,4.0,
Passes,288.0,
Accurate passes,212.0,
Long balls,27.0,64.0
Crosses,1.0,4.0
Dribbles,2.0,17.0
Possession lost,124.0,
Duels won,37.0,
Aerials won,8.0,
Tackles,15.0,
Interceptions,12.0,
Clearances,17.0,
