name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,fouls,keyPass,dispossessed,goalAssist,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,challengeLost,goals,hitWoodwork,totalOffside,bigChanceMissed,captain
Pedro Diaz,P. Diaz,G,21,Peru,False,26.0,23.0,8.0,6.0,1.0,1.0,1.0,2.0,2.0,90.0,33.0,7.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Narváez,J. Narváez,D,23,Ecuador,False,62.0,48.0,12.0,5.0,3.0,6.0,1.0,0.0,0.0,90.0,82.0,7.3,16.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gu Choi,G. Choi,D,16,Peru,False,58.0,54.0,10.0,7.0,0.0,3.0,0.0,0.0,0.0,90.0,65.0,7.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Alex Rambal,A. Rambal,D,24,Colombia,False,14.0,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yimy Gamero,Y. Gamero,M,54,Peru,False,44.0,39.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,90.0,59.0,7.1,10.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Pérez,L. Pérez,M,6,Colombia,False,54.0,45.0,9.0,6.0,2.0,4.0,1.0,0.0,0.0,90.0,70.0,6.9,16.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edson Aubert,E. Aubert,M,7,Peru,False,62.0,43.0,12.0,7.0,0.0,7.0,1.0,0.0,0.0,90.0,75.0,7.8,22.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Bersano,F. Bersano,D,26,Argentina,False,18.0,15.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,63.0,36.0,7.3,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Cedrón,V. Cedrón,M,10,Peru,False,28.0,19.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,78.0,46.0,7.6,16.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Angel Quiñonez,A. Quiñonez,F,11,Ecuador,False,12.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,64.0,20.0,7.2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Janio Pósito,J. Pósito,F,89,Peru,False,12.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,23.0,6.3,12.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
César Inga,C. Inga,D,3,Peru,True,38.0,33.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,73.0,46.0,6.5,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Juan González Peña,J. G. Peña,M,14,Peru,True,11.0,8.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,27.0,20.0,7.4,6.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Rengifo,H. Rengifo,F,9,Peru,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,6.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Joao Rojas,J. Rojas,M,12,Ecuador,True,11.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,26.0,17.0,7.8,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Beto Da Silva,B. D. Silva,M,20,Peru,True,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,5.0,6.7,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ernesto Pinillos,E. Pinillos,G,30,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Franco Falconi,J. F. Falconi,D,29,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Palomino,J. Palomino,M,8,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Vargas,C. Vargas,M,17,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
