name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,aerialWon,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,outfielderBlock,penaltyConceded,fouls,onTargetScoringAttempt,blockedScoringAttempt,keyPass,accurateCross,shotOffTarget,goals,totalOffside,goalAssist,bigChanceCreated,captain
Renato Solís,R. Solís,G,12,Peru,False,22.0,10.0,16.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,90.0,35.0,7.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhilmar Lora,J. Lora,D,15,Peru,False,23.0,17.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,90.0,49.0,6.3,19.0,1.0,3.0,9.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ignácio,Ignácio,D,14,Brazil,False,35.0,22.0,11.0,3.0,1.0,6.0,6.0,2.0,0.0,0.0,0.0,90.0,50.0,7.0,13.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Díaz,L. Díaz,D,32,Peru,False,14.0,14.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,37.0,19.0,6.3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Pasquini,N. Pasquini,D,28,Argentina,False,38.0,28.0,12.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,90.0,54.0,7.2,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Cazonatti,G. Cazonatti,M,55,Brazil,False,26.0,19.0,5.0,3.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,90.0,39.0,6.6,11.0,0.0,4.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martín Távara,M. Távara,M,25,Peru,False,40.0,24.0,11.0,5.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,90.0,55.0,7.2,19.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Joao Grimaldo,J. Grimaldo,F,20,Peru,False,16.0,13.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,6.9,17.0,0.0,0.0,11.0,2.0,1.0,8.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Yoshimar Yotún,Y. Yotún,M,19,Peru,False,12.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,25.0,6.0,14.0,3.0,2.0,10.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,True
Santiago González,S. González,M,7,Argentina,False,20.0,16.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,83.0,33.0,8.1,11.0,4.0,4.0,9.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
Irven Ávila,I. Ávila,F,11,Peru,False,16.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,23.0,6.9,6.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
