name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Kevin Serna,K. Serna,M,26,64.545714285714,13.011428571429,35
Carlos Zambrano,C. Zambrano,D,5,42.026923076923,39.569230769231,26
Jhamir D´Arrigo,J. D´Arrigo,M,11,70.489361702128,75.197872340426,47
Franco Zanelatto,F. Zanelatto,M,7,66.925,15.458333333333,12
Renzo Garces,R. Garces,D,6,34.933898305085,56.322033898305,59
Sebastian Aranda,S. Aranda,D,21,69.144444444444,77.077777777778,9
Jesús Castillo,J. Castillo,M,15,60.906451612903,57.325806451613,31
Ángel De la Cruz,Á. D. l. Cruz,G,12,8.2,49.065306122449,49
Cecilio Waterman,C. Waterman,F,30,76.24,45.637142857143,35
Gabriel Costa,G. Costa,M,8,60.009302325581,34.853488372093,43
Hernán Barcos,H. Barcos,F,9,63.341304347826,44.958695652174,46
Adrián Arregui,A. Arregui,M,5,48.52183908046,44.896551724138,87
Juan Freytes,J. Freytes,D,2,40.009782608696,75.583695652174,92
Jiovany Ramos,J. Ramos,D,29,38.333333333333,26.232098765432,81
Sebastián Rodríguez,S. Rodríguez,M,10,62.216666666667,52.265151515152,66
