name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Gonzalo Gabriel Ritacco,G. G. Ritacco,F,10,57.265384615385,30.5,26
Ítalo Espinoza,Í. Espinoza,G,31,7.04,51.242857142857,35
Didier La Torre,D. L. Torre,M,8,63.9625,88.2875,8
Juan Romagnoli,J. Romagnoli,M,11,59.390322580645,68.887096774194,31
Claudio Torrejón,C. Torrejón,M,14,40.867441860465,46.467441860465,43
Abdiel Ayarza,A. Ayarza,M,27,43.941463414634,53.151219512195,41
Carlos Garcés,C. Garcés,F,21,66.703225806452,55.016129032258,31
Alfredo Ramúa,A. Ramúa,M,55,54.897297297297,36.583783783784,37
Marco Aldair Rodríguez,M. A. Rodríguez,M,22,66.894339622642,19.87358490566,53
Paolo Fuentes,P. Fuentes,D,6,28.307692307692,27.761538461538,65
Marcelo Benítez,M. Benítez,D,3,48.926086956522,84.389855072464,69
Germán Mera,G. Mera,D,13,31.810714285714,71.0375,56
Josué Estrada,J. Estrada,D,7,46.862666666667,10.646666666667,75
