name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,goalAssist,totalCross,accurateCross,duelLost,duelWon,bigChanceCreated,totalTackle,fouls,possessionLostCtrl,keyPass,aerialLost,aerialWon,totalClearance,outfielderBlock,interceptionWon,wasFouled,challengeLost,shotOffTarget,totalContest,wonContest,blockedScoringAttempt,dispossessed,bigChanceMissed,onTargetScoringAttempt,totalOffside,goals,captain
Ítalo Espinoza,Í. Espinoza,G,31,Peru,False,24.0,24.0,9.0,9.0,1.0,4.0,90.0,29.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josué Estrada,J. Estrada,D,7,Peru,False,56.0,43.0,10.0,2.0,0.0,0.0,90.0,68.0,7.4,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paolo Fuentes,P. Fuentes,D,6,Peru,False,43.0,38.0,8.0,4.0,0.0,0.0,90.0,56.0,6.9,0.0,0.0,0.0,3.0,6.0,0.0,1.0,2.0,5.0,0.0,1.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germán Mera,G. Mera,D,13,Colombia,False,41.0,36.0,9.0,6.0,0.0,0.0,90.0,46.0,6.7,0.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marcelo Benítez,M. Benítez,D,3,Argentina,False,43.0,38.0,12.0,7.0,0.0,0.0,90.0,64.0,7.3,0.0,2.0,0.0,3.0,5.0,0.0,1.0,1.0,10.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Torrejón,C. Torrejón,M,14,Peru,False,30.0,25.0,7.0,6.0,0.0,0.0,90.0,35.0,6.5,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Abdiel Ayarza,A. Ayarza,M,27,Panama,False,21.0,14.0,3.0,2.0,0.0,0.0,90.0,34.0,6.5,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,10.0,0.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Marco Aldair Rodríguez,M. A. Rodríguez,M,22,Peru,False,26.0,22.0,2.0,1.0,0.0,0.0,90.0,50.0,7.2,0.0,3.0,1.0,3.0,8.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfredo Ramúa,A. Ramúa,M,55,Argentina,False,28.0,24.0,6.0,3.0,0.0,0.0,68.0,32.0,6.6,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Juan Romagnoli,J. Romagnoli,M,11,Argentina,False,14.0,9.0,1.0,0.0,0.0,0.0,78.0,23.0,6.7,0.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Carlos Garcés,C. Garcés,F,21,Ecuador,False,10.0,4.0,1.0,0.0,0.0,0.0,90.0,22.0,7.8,0.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0
Gonzalo Gabriel Ritacco,G. G. Ritacco,F,10,Argentina,True,17.0,14.0,1.0,1.0,0.0,0.0,22.0,22.0,6.6,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Didier La Torre,D. L. Torre,M,8,Peru,True,3.0,2.0,1.0,0.0,0.0,0.0,12.0,7.0,6.6,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jeferson Nolasco,J. Nolasco,G,1,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson Portales,J. Portales,D,4,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Nuñez,O. Nuñez,D,16,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Rugel,L. Rugel,D,2,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Mifflin,L. Mifflin,M,5,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Guivin,J. Guivin,M,17,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Carando,D. Carando,F,9,Argentina,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
