Estadistica,Acertados,Intentados
Expected goals,3.46,
Ball possession,61.0,
Total shots,19.0,
Shots on target,6.0,
Shots off target,10.0,
Blocked shots,3.0,
Corner kicks,11.0,
Offsides,3.0,
Fouls,7.0,
Free kicks,11.0,
Throw-ins,15.0,
Goal kicks,2.0,
Big chances,3.0,
Big chances missed,1.0,
Hit woodwork,1.0,
Shots inside box,14.0,
Shots outside box,5.0,
Goalkeeper saves,0.0,
Passes,411.0,
Accurate passes,336.0,
Long balls,33.0,54.0
Crosses,13.0,27.0
Dribbles,10.0,18.0
Possession lost,123.0,
Duels won,51.0,
Aerials won,17.0,
Tackles,14.0,
Interceptions,9.0,
Clearances,8.0,
