name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,aerialWon,duelLost,duelWon,dispossessed,shotOffTarget,totalClearance,interceptionWon,totalTackle,fouls,onTargetScoringAttempt,goals,wasFouled,goalAssist,keyPass,totalCross,accurateCross,challengeLost,totalContest,wonContest,totalOffside,blockedScoringAttempt,penaltyWon,bigChanceCreated,bigChanceMissed,hitWoodwork,penaltyMiss,captain
Franco Saravia,F. Saravia,G,32,Peru,False,14.0,12.0,5.0,3.0,1.0,90.0,16.0,6.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,48.0,39.0,4.0,2.0,0.0,90.0,69.0,7.6,10.0,1.0,3.0,4.0,9.0,1.0,1.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,47.0,41.0,6.0,4.0,0.0,90.0,54.0,9.0,6.0,0.0,5.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Renzo Garces,R. Garces,D,6,Peru,False,41.0,31.0,9.0,2.0,0.0,90.0,45.0,7.1,10.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,26.0,18.0,1.0,1.0,0.0,73.0,58.0,7.1,23.0,0.0,1.0,5.0,6.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,26.0,20.0,2.0,2.0,0.0,89.0,43.0,7.2,11.0,1.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,68.0,61.0,9.0,7.0,0.0,90.0,86.0,8.0,15.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,False,28.0,23.0,5.0,2.0,0.0,90.0,39.0,7.1,7.0,2.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,33.0,23.0,6.0,3.0,0.0,89.0,61.0,7.7,17.0,2.0,1.0,3.0,5.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,19.0,15.0,1.0,1.0,0.0,78.0,27.0,7.4,6.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
