name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Carlos López Vanegas,C. L. Vanegas,F,11,58.691176470588,21.523529411765,34
José Miguel Manzaneda,J. M. Manzaneda,F,7,47.48,80.662222222222,45
Rudy Palomino,R. Palomino,M,6,37.787179487179,47.838461538462,39
Kevin Becerra,K. Becerra,D,5,20.772727272727,29.604545454545,44
Michael Sotillo,M. Sotillo,G,1,6.05,46.5,40
Oshiro Takeuchi,O. Takeuchi,M,18,62.047058823529,46.811764705882,17
Alan Murialdo,A. Murialdo,F,22,47.89375,68.7625,16
Cristian Mejia,C. Mejia,M,24,41.226829268293,58.653658536585,41
José Luján,J. Luján,D,3,26.132558139535,70.83023255814,43
Abel Casquete,A. Casquete,M,10,50.595454545455,46.35,22
Ángel Ledesma,Á. Ledesma,M,21,46.833333333333,58.04,15
Carlos Gamarra,C. Gamarra,M,2,25.673333333333,73.186666666667,15
Marlon Ruidías,M. Ruidías,D,13,35.328571428571,35.828571428571,14
Axel Chávez,A. Chávez,D,15,31.411475409836,81.404918032787,61
Diego Temoche,D. Temoche,D,20,35.386153846154,16.321538461538,65
Gonzalo Sanchez,G. Sanchez,F,19,45.233333333333,45.066666666667,3
