name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,penaltySave,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,wasFouled,fouls,totalTackle,dispossessed,penaltyConceded,aerialWon,interceptionWon,outfielderBlock,accurateCross,keyPass,shotOffTarget,captain
Michael Sotillo,M. Sotillo,G,1,Peru,False,24.0,14.0,18.0,8.0,3.0,3.0,1.0,4.0,2.0,90.0,35.0,7.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Diego Temoche,D. Temoche,D,20,Peru,False,39.0,26.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,90.0,53.0,6.0,15.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Becerra,K. Becerra,D,5,Ecuador,False,26.0,21.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,90.0,38.0,6.3,6.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Luján,J. Luján,D,3,Peru,False,27.0,20.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,90.0,34.0,5.5,8.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Chávez,A. Chávez,D,15,Peru,False,20.0,11.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,64.0,50.0,6.3,18.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rudy Palomino,R. Palomino,M,6,Peru,False,26.0,22.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,33.0,6.3,7.0,0.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cristian Mejia,C. Mejia,M,24,Peru,False,28.0,25.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,36.0,6.4,5.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Carlos López Vanegas,C. L. Vanegas,F,11,Colombia,False,19.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,30.0,6.5,10.0,6.0,1.0,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Oshiro Takeuchi,O. Takeuchi,M,18,Peru,False,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,12.0,6.4,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
José Miguel Manzaneda,J. M. Manzaneda,F,7,Peru,False,13.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,37.0,6.6,11.0,1.0,0.0,6.0,10.0,0.0,8.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alan Murialdo,A. Murialdo,F,22,Argentina,False,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,8.0,6.6,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Ledesma,Á. Ledesma,M,21,Ecuador,True,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,10.0,6.4,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel Casquete,A. Casquete,M,10,Ecuador,True,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,18.0,6.3,6.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlon Ruidías,M. Ruidías,D,13,Peru,True,9.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,6.4,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Gamarra,C. Gamarra,M,2,Peru,True,9.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,6.4,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Sanchez,G. Sanchez,F,19,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Antony Sánchez,A. Sánchez,G,12,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson Mogollón,E. Mogollón,D,4,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Carabaño,D. Carabaño,M,8,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Rengifo,D. Rengifo,M,28,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
