goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player
1,0,0,11,64.71,0,0.0,2,100.0,6,0,84.83,11,57.89,308,3,2,2,4,0,0,0,3,0,0,0,0,0,36,2,151,8,6,46.15,15,78.95,0,2,2,0,4,1,0,25.0,1,0,0,0,0,0,Sebastián Rodríguez
0,0,0,8,57.14,0,0.0,2,66.67,3,1,90.14,8,50.0,118,3,2,3,3,0,0,0,0,0,0,0,0,0,24,2,64,5,4,44.44,4,100.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Gabriel Costa
3,0,0,11,50.0,6,40.0,1,50.0,3,0,75.0,17,45.95,331,7,4,4,4,0,0,0,3,0,0,0,0,0,14,0,33,2,0,0.0,0,0.0,0,1,2,3,10,6,1,30.0,0,1,0,0,0,0,Cecilio Waterman
0,0,0,11,61.11,3,50.0,3,100.0,6,0,70.05,14,58.33,360,2,1,4,4,2,0,0,3,0,0,0,0,0,25,0,131,3,1,25.0,20,37.74,4,5,2,0,6,2,0,0.0,0,0,0,0,0,0,Juan Freytes
0,0,0,7,58.33,0,0.0,2,100.0,3,1,84.85,7,53.85,91,2,0,4,2,0,0,0,1,0,0,0,0,0,12,1,28,2,0,0.0,2,50.0,0,1,1,0,2,0,1,0.0,0,0,0,0,0,0,Jhamir D´Arrigo
0,0,1,12,66.67,4,44.44,1,100.0,9,0,81.15,16,59.26,246,2,7,0,3,0,0,0,2,0,0,0,0,0,12,0,99,2,1,50.0,9,52.94,6,14,1,0,2,0,0,0.0,0,1,0,0,0,0,Jiovany Ramos
0,1,0,8,72.73,9,90.0,1,100.0,6,0,74.32,17,80.95,162,1,2,1,4,0,0,0,1,0,0,0,0,0,6,1,55,1,0,0.0,7,46.67,2,5,0,0,2,0,1,0.0,0,0,0,0,0,0,Renzo Garces
1,0,0,8,36.36,3,21.43,1,25.0,4,1,66.04,11,30.56,360,3,5,6,4,0,0,0,3,0,0,0,0,0,30,0,70,3,0,0.0,1,16.67,0,2,1,2,12,6,3,8.33,0,4,0,0,0,0,Hernán Barcos
1,1,0,8,32.0,2,33.33,1,100.0,2,0,74.16,10,32.26,305,5,6,6,4,0,0,0,3,0,0,0,0,0,24,1,66,2,1,50.0,6,75.0,1,1,5,0,5,2,0,20.0,0,1,0,0,0,0,Catriel Cabellos
0,0,0,19,52.78,4,66.67,4,40.0,7,2,70.79,23,54.76,345,8,0,8,4,0,0,0,3,0,0,0,0,0,27,2,63,4,4,23.53,6,50.0,1,2,3,3,7,1,3,0.0,0,1,0,0,0,0,Kevin Serna
0,1,0,7,50.0,8,88.89,0,0.0,5,0,78.89,15,65.22,215,2,3,3,4,0,0,0,2,0,0,0,0,0,2,0,71,1,0,0.0,3,30.0,3,7,1,0,1,0,0,0.0,0,0,0,0,0,0,Aldair Fuentes
0,1,0,5,83.33,2,50.0,0,0.0,3,1,51.43,7,70.0,113,2,1,0,3,0,0,0,1,0,0,0,0,0,4,1,18,2,0,0.0,0,0.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Jesús Castillo
0,0,1,0,0.0,0,0.0,0,0.0,0,0,76.79,0,0.0,269,0,1,0,3,3,2,1,2,0,0,0,0,0,1,0,43,1,0,0.0,18,62.07,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,Franco Saravia
0,0,0,0,0.0,0,0.0,0,0.0,0,0,63.64,0,0.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0.0,1,25.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Marco Huaman
0,1,0,1,50.0,0,0.0,0,0.0,0,0,40.91,1,50.0,90,1,1,0,1,3,1,2,1,0,0,0,0,0,1,0,9,0,0,0.0,4,25.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Ángel De la Cruz
0,0,0,1,16.67,2,50.0,0,0.0,0,0,60.87,3,30.0,266,1,2,2,4,0,0,0,2,0,0,0,0,0,11,0,42,3,3,27.27,1,20.0,4,2,1,1,2,1,0,0.0,0,0,0,0,0,0,Ricardo Lagos
0,0,0,2,33.33,0,0.0,0,0.0,2,0,76.47,2,25.0,59,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0.0,1,100.0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,Franco Zanelatto
0,2,1,2,15.38,5,83.33,0,0.0,1,0,80.51,7,36.84,238,1,4,3,3,0,0,0,3,0,0,0,0,0,15,0,95,1,2,66.67,6,85.71,3,1,4,1,6,3,1,0.0,0,0,0,0,0,0,Adrián Arregui
0,1,0,1,33.33,0,0.0,0,0.0,1,0,100.0,1,20.0,28,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Axel Moyano
