name,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,firstName,lastName,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,dispossessed,totalContest,wonContest,onTargetScoringAttempt,goalAssist,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,goals,hitWoodwork,captain,team
Franco Saravia,franco-saravia,F. Saravia,G,32,78,973547,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,928281600,,,32,32,G,False,12.0,10.0,8.0,6.0,90.0,17.0,6.7,2.0,1.0,"{'original': 6.7, 'alternative': 6.5}",,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,58,1006509,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,854236800,,,29,29,D,False,36.0,27.0,3.0,1.0,90.0,74.0,7.7,13.0,1.0,"{'original': 7.7, 'alternative': 7.7}",1.0,1.0,3.0,1.0,5.0,9.0,1.0,2.0,10.0,3.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,Alianza Lima
Aldair Fuentes,aldair-fuentes,A. Fuentes,M,20,128,876927,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,885686400,,,20,20,D,False,33.0,22.0,6.0,1.0,90.0,51.0,7.0,12.0,1.0,"{'original': 7, 'alternative': 6.9}",,,,3.0,3.0,6.0,1.0,,6.0,2.0,3.0,,1.0,,1.0,,,,,,,,,,,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,44,962187,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,947548800,,,2,2,D,False,35.0,22.0,10.0,3.0,90.0,54.0,7.1,18.0,,"{'original': 7.1, 'alternative': 6.9}",,,,2.0,1.0,6.0,,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,97,981374,"{'alpha2': 'CO', 'name': 'Colombia'}",EUR,882748800,,,26,26,M,False,24.0,16.0,3.0,1.0,89.0,61.0,6.8,25.0,2.0,"{'original': 6.8, 'alternative': 6.6}",5.0,1.0,1.0,,6.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,5.0,2.0,,1.0,1.0,1.0,,,,,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,75,789372,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,713577600,,,5,5,M,False,31.0,22.0,1.0,1.0,58.0,41.0,5.6,12.0,,"{'original': 5.6, 'alternative': 5.4}",2.0,1.0,,,5.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,,1.0,,1.0,,,,,,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,316,1415942,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1092787200,Catriel Cabellos,,27,27,M,False,36.0,23.0,5.0,3.0,90.0,49.0,7.6,19.0,1.0,"{'original': 7.6, 'alternative': 7.3}",1.0,,1.0,,7.0,3.0,3.0,1.0,,,2.0,1.0,1.0,,2.0,,,2.0,,,,1.0,1.0,,,Alianza Lima
Ricardo Lagos,ricardo-lagos,R. Lagos,D,13,91,973682,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,829958400,,,13,13,M,False,22.0,12.0,,,90.0,33.0,6.7,15.0,2.0,"{'original': 6.7, 'alternative': 6.8}",4.0,2.0,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,247,159931,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,671500800,,,30,30,F,False,9.0,9.0,,,68.0,16.0,7.6,1.0,1.0,"{'original': 7.6, 'alternative': 7.6}",,,2.0,1.0,4.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,,,2.0,,,1.0,,1.0,,,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,210,47418,"{'alpha2': 'UY', 'name': 'Uruguay'}",EUR,713923200,,,10,10,F,False,23.0,20.0,3.0,2.0,68.0,33.0,6.8,8.0,1.0,"{'original': 6.8, 'alternative': 6.8}",5.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,Alianza Lima
