name,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,firstName,lastName,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelLost,errorLeadToAShot,fouls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelWon,totalContest,wonContest,totalClearance,interceptionWon,dispossessed,shotOffTarget,totalTackle,accurateCross,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,challengeLost,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,totalOffside,captain,team
Franco Saravia,franco-saravia,F. Saravia,G,32,78,973547,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,928281600,,,32,32,G,False,24.0,19.0,10.0,6.0,1.0,1.0,1.0,1.0,2.0,89.0,27.0,6.2,5.0,"{'original': 6.2, 'alternative': 6.2}",,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,58,1006509,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,854236800,,,29,29,D,False,38.0,32.0,7.0,4.0,3.0,,2.0,,,66.0,46.0,6.1,8.0,"{'original': 6.1, 'alternative': 6}",1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Alianza Lima
Aldair Fuentes,aldair-fuentes,A. Fuentes,M,20,128,876927,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,885686400,,,20,20,D,False,34.0,31.0,2.0,1.0,2.0,,1.0,,,45.0,40.0,6.7,4.0,"{'original': 6.7, 'alternative': 6.6}",,,2.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,44,962187,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,947548800,,,2,2,D,False,65.0,45.0,21.0,6.0,3.0,,,,2.0,90.0,100.0,7.2,30.0,"{'original': 7.2, 'alternative': 7.2}",3.0,1.0,,5.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,97,981374,"{'alpha2': 'CO', 'name': 'Colombia'}",EUR,882748800,,,26,26,M,False,21.0,17.0,3.0,2.0,1.0,,,,,76.0,37.0,7.0,13.0,"{'original': 7, 'alternative': 6.8}",5.0,,1.0,4.0,1.0,,,,,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,316,1415942,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1092787200,Catriel Cabellos,,27,27,M,False,11.0,11.0,,,6.0,,2.0,,,45.0,16.0,6.3,1.0,"{'original': 6.3, 'alternative': 6.1}",,1.0,,2.0,,,,,1.0,,,,2.0,,,,2.0,,,,,,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,75,789372,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,713577600,,,5,5,M,False,42.0,33.0,4.0,3.0,6.0,,2.0,,,90.0,50.0,6.8,10.0,"{'original': 6.8, 'alternative': 6.7}",1.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,2.0,2.0,,,,,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,210,47418,"{'alpha2': 'UY', 'name': 'Uruguay'}",EUR,713923200,,,10,10,M,False,44.0,38.0,6.0,5.0,2.0,,2.0,,,76.0,56.0,7.6,8.0,"{'original': 7.6, 'alternative': 7.7}",4.0,,,4.0,,,,,,2.0,3.0,3.0,1.0,3.0,,,,,1.0,,,,Alianza Lima
Jhamir D´Arrigo,jhamir-d-arrigo,J. D´Arrigo,M,11,92,1017760,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,942624000,,,11,11,M,False,22.0,17.0,4.0,2.0,5.0,,,,,64.0,35.0,6.6,12.0,"{'original': 6.6, 'alternative': 6.4}",2.0,1.0,,4.0,1.0,1.0,,,3.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,247,159931,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,671500800,,,30,30,F,False,11.0,4.0,1.0,,10.0,,3.0,,,90.0,19.0,6.3,10.0,"{'original': 6.3, 'alternative': 6.3}",,3.0,2.0,5.0,2.0,1.0,,,2.0,1.0,,,2.0,,,,1.0,1.0,,1.0,1.0,,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,446,31175,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,450489600,,,9,9,F,False,18.0,13.0,,,13.0,,2.0,,,90.0,29.0,6.5,12.0,"{'original': 6.5, 'alternative': 6.3}",1.0,9.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,True,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,70,874985,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,834537600,,,6,6,D,True,19.0,15.0,4.0,3.0,,,,,,45.0,21.0,6.8,4.0,"{'original': 6.8, 'alternative': 6.9}",,,5.0,6.0,,,,,,1.0,1.0,,,,,,,,,,,,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,575,590312,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,639014400,,,8,8,M,True,24.0,21.0,3.0,3.0,4.0,,,,,45.0,38.0,7.0,11.0,"{'original': 7, 'alternative': 6.8}",3.0,1.0,,4.0,1.0,,,,2.0,,2.0,,2.0,2.0,,,,,,,,,Alianza Lima
Franco Zanelatto,franco-zanelatto,F. Zanelatto,M,7,314,973650,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,957830400,,,7,7,M,True,10.0,8.0,1.0,1.0,3.0,,,,,26.0,15.0,6.6,6.0,"{'original': 6.6, 'alternative': 6.5}",1.0,2.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,Alianza Lima
