Estadistica,Completado,Intentado
Expected goals,3.91,-
Ball possession,60.0,-
Total shots,24.0,-
Shots on target,8.0,-
Shots off target,13.0,-
Blocked shots,3.0,-
Corner kicks,9.0,-
Offsides,0.0,-
Fouls,12.0,-
Yellow cards,2.0,-
Free kicks,8.0,-
Throw-ins,25.0,-
Goal kicks,4.0,-
Big chances,6.0,-
Big chances missed,2.0,-
Hit woodwork,1.0,-
Counter attacks,1.0,-
Counter attack shots,1.0,-
Counter attack goals,0.0,-
Shots inside box,17.0,-
Shots outside box,7.0,-
Goalkeeper saves,1.0,-
Passes,414.0,-
Accurate passes,348.0,-
Long balls,31.0,51.0
Crosses,11.0,28.0
Dribbles,5.0,12.0
Possession lost,125.0,-
Duels won,47.0,-
Aerials won,11.0,-
Tackles,23.0,-
Interceptions,7.0,-
Clearances,5.0,-
