name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelLost,fouls,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalCross,aerialLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,keyPass,outfielderBlock,wasFouled,aerialWon,totalContest,wonContest,shotOffTarget,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,saves,captain
Franco Saravia,F. Saravia,G,32,Peru,False,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,25.0,9.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,False,22.0,14.0,9.0,3.0,5.0,2.0,0.0,0.0,90.0,36.0,6.1,11.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,13.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,90.0,22.0,6.6,3.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,31.0,9.0,16.0,3.0,2.0,0.0,0.0,0.0,90.0,52.0,6.4,31.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,19.0,12.0,3.0,1.0,3.0,0.0,0.0,0.0,90.0,34.0,6.5,16.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Costa,G. Costa,M,8,Peru,False,10.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,11.0,6.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,5,Argentina,False,26.0,14.0,7.0,2.0,7.0,5.0,0.0,0.0,90.0,37.0,6.5,15.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,22.0,15.0,3.0,1.0,5.0,1.0,0.0,0.0,90.0,37.0,6.5,14.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhamir D´Arrigo,J. D´Arrigo,M,11,Peru,False,19.0,13.0,3.0,1.0,2.0,1.0,0.0,0.0,69.0,27.0,6.7,6.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cecilio Waterman,C. Waterman,F,30,Panama,False,11.0,9.0,0.0,0.0,6.0,1.0,0.0,0.0,85.0,28.0,6.8,10.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,16.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,45.0,23.0,6.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,True
Ángel De la Cruz,Á. D. l. Cruz,G,12,Peru,True,26.0,8.0,24.0,6.0,0.0,0.0,0.0,0.0,60.0,33.0,6.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,8.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,45.0,17.0,6.6,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,True,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,7.0,6.5,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Guzmán,V. Guzmán,F,22,Peru,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Aranda,S. Aranda,D,21,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
