name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Aldair Fuentes,A. Fuentes,M,20,32.513333333333,60.211111111111,45
Jiovany Ramos,J. Ramos,D,29,40.863636363636,20.743636363636,55
Ricardo Lagos,R. Lagos,D,13,60.763636363636,81.972727272727,11
Renzo Garces,R. Garces,D,6,37.842857142857,55.0,28
Hernán Barcos,H. Barcos,F,9,66.646511627907,54.690697674419,43
Catriel Cabellos,C. Cabellos,M,27,54.381818181818,29.922727272727,22
Franco Saravia,F. Saravia,G,32,12.968421052632,46.9,38
Cecilio Waterman,C. Waterman,F,30,74.816129032258,49.803225806452,31
Jhamir D´Arrigo,J. D´Arrigo,M,11,61.446153846154,82.441025641026,39
Franco Zanelatto,F. Zanelatto,M,7,62.977777777778,50.961111111111,18
Kevin Serna,K. Serna,M,26,62.135555555556,16.653333333333,45
Juan Freytes,J. Freytes,D,2,42.612173913043,82.968695652174,115
Marco Huaman,M. Huaman,D,25,40.907142857143,27.721428571429,14
Gabriel Costa,G. Costa,M,8,61.109302325581,52.444186046512,43
Adrián Arregui,A. Arregui,M,5,47.896825396825,44.253968253968,63
Sebastián Rodríguez,S. Rodríguez,M,10,57.111666666667,56.063333333333,60
