Estadistica,Acertados,Intentados
Expected goals,1.52,
Ball possession,66.0,
Total shots,18.0,
Shots on target,5.0,
Shots off target,8.0,
Blocked shots,5.0,
Corner kicks,2.0,
Offsides,4.0,
Fouls,9.0,
Yellow cards,1.0,
Red cards,0.0,
Free kicks,10.0,
Throw-ins,27.0,
Goal kicks,8.0,
Big chances,2.0,
Big chances missed,1.0,
Hit woodwork,1.0,
Shots inside box,8.0,
Shots outside box,10.0,
Goalkeeper saves,2.0,
Passes,454.0,
Accurate passes,366.0,
Long balls,48.0,75.0
Crosses,3.0,14.0
Dribbles,7.0,9.0
Possession lost,132.0,
Duels won,38.0,
Aerials won,8.0,
Tackles,14.0,
Interceptions,5.0,
Clearances,12.0,
