Estadistica,Acertados,Intentados
Expected goals,2.04,
Ball possession,58.0,
Total shots,14.0,
Shots on target,5.0,
Shots off target,6.0,
Blocked shots,3.0,
Corner kicks,11.0,
Offsides,0.0,
Fouls,11.0,
Yellow cards,2.0,
Free kicks,11.0,
Throw-ins,20.0,
Goal kicks,11.0,
Big chances,2.0,
Big chances missed,1.0,
Counter attacks,0.0,
Counter attack shots,0.0,
Shots inside box,12.0,
Shots outside box,2.0,
Goalkeeper saves,3.0,
Passes,399.0,
Accurate passes,308.0,
Long balls,35.0,68.0
Crosses,8.0,23.0
Dribbles,10.0,15.0
Possession lost,146.0,
Duels won,66.0,
Aerials won,23.0,
Tackles,22.0,
Interceptions,23.0,
Clearances,9.0,
