name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Irven Ávila,I. Ávila,F,11,68.911764705882,48.620588235294,34
Yoshimar Yotún,Y. Yotún,M,19,56.315151515152,65.627272727273,33
Leonardo Díaz,L. Díaz,D,32,24.65,65.623076923077,26
Nicolás Pasquini,N. Pasquini,D,28,38.480327868852,82.967213114754,61
Fernando Pacheco,F. Pacheco,M,24,37.1,91.1,2
Gabriel Alfaro,G. Alfaro,D,36,42.75,77.266666666667,6
Jesús Pretell,J. Pretell,M,6,49.6,36.633333333333,12
Gianfranco Chávez,G. Chávez,D,4,21.121739130435,33.773913043478,23
Gustavo Cazonatti,G. Cazonatti,M,55,46.944897959184,39.065306122449,49
Renato Solís,R. Solís,G,12,6.86875,48.99375,48
Joao Grimaldo,J. Grimaldo,F,20,59.046,56.256,50
Jostin Alarcón,J. Alarcón,M,30,67.169565217391,60.965217391304,23
Martín Távara,M. Távara,M,25,42.484375,61.98125,64
Santiago González,S. González,F,7,58.872916666667,35.85625,48
Ignácio,Ignácio,D,14,24.881355932203,47.801694915254,59
Jhilmar Lora,J. Lora,D,15,46.805,12.805,60
