minute,value
1.0,3
2.0,-7
3.0,-4
4.0,13
5.0,-17
6.0,-11
7.0,-11
8.0,-5
9.0,59
10.0,56
11.0,37
12.0,17
13.0,14
14.0,-13
15.0,-9
16.0,-6
17.0,-4
18.0,48
19.0,10
20.0,-31
21.0,-11
22.0,-57
23.0,-34
24.0,-18
25.0,-8
26.0,8
27.0,26
28.0,46
29.0,31
30.0,74
31.0,48
32.0,30
33.0,58
34.0,31
35.0,42
36.0,64
37.0,37
38.0,23
39.0,83
40.0,100
41.0,57
42.0,31
43.0,15
44.0,32
45.0,11
45.5,15
46.0,2
47.0,18
48.0,12
49.0,9
50.0,42
51.0,27
52.0,17
53.0,22
54.0,16
55.0,-7
56.0,40
57.0,-26
58.0,-11
59.0,-20
60.0,-14
61.0,-2
62.0,-3
63.0,-6
64.0,-3
65.0,25
66.0,57
67.0,37
68.0,18
69.0,3
70.0,8
71.0,-40
72.0,-34
73.0,-28
74.0,-33
75.0,-29
76.0,-23
77.0,-22
78.0,-35
79.0,-16
80.0,-16
81.0,-17
82.0,-16
83.0,-55
84.0,-1
85.0,-6
86.0,-4
87.0,11
88.0,14
89.0,-25
90.0,-23
90.5,-3
