minute,value
1.0,7
2.0,10
3.0,17
4.0,10
5.0,19
6.0,11
7.0,13
8.0,23
9.0,4
10.0,11
11.0,31
12.0,15
13.0,14
14.0,11
15.0,-11
16.0,-7
17.0,-14
18.0,-77
19.0,-39
20.0,-9
21.0,-1
22.0,9
23.0,26
24.0,51
25.0,29
26.0,3
27.0,-5
28.0,-4
29.0,9
30.0,-22
31.0,-13
32.0,-27
33.0,58
34.0,35
35.0,43
36.0,32
37.0,27
38.0,55
39.0,79
40.0,94
41.0,61
42.0,47
43.0,36
44.0,67
45.0,52
45.5,-48
46.0,-5
47.0,8
48.0,94
49.0,78
50.0,51
51.0,100
52.0,67
53.0,30
54.0,2
55.0,26
56.0,19
57.0,28
58.0,26
59.0,70
60.0,50
61.0,46
62.0,36
63.0,27
64.0,31
65.0,53
66.0,27
67.0,21
68.0,13
69.0,7
70.0,2
71.0,14
72.0,31
73.0,-47
74.0,-7
75.0,126
76.0,68
77.0,28
78.0,21
79.0,20
80.0,4
81.0,-39
82.0,-20
83.0,-11
84.0,-7
85.0,7
86.0,5
87.0,-16
88.0,-8
89.0,-5
90.0,-7
90.5,-3
