name,slug,shortName,position,jerseyNumber,userCount,id,firstName,lastName,averageX,averageY,pointsCount,team
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,66,1006509,,,40.863636363636,20.743636363636,55,Alianza Lima
Aldair Fuentes,aldair-fuentes,A. Fuentes,M,20,132,876927,,,32.513333333333,60.211111111111,45,Alianza Lima
Ricardo Lagos,ricardo-lagos,R. Lagos,D,13,92,973682,,,60.763636363636,81.972727272727,11,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,72,874985,,,37.842857142857,55.0,28,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,468,31175,,,66.646511627907,54.690697674419,43,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,320,1415942,Catriel Cabellos,,54.381818181818,29.922727272727,22,Alianza Lima
Franco Saravia,franco-saravia,F. Saravia,G,32,79,973547,,,12.968421052632,46.9,38,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,266,159931,,,74.816129032258,49.803225806452,31,Alianza Lima
Jhamir D´Arrigo,jhamir-d-arrigo,J. D´Arrigo,M,11,96,1017760,,,61.446153846154,82.441025641026,39,Alianza Lima
Franco Zanelatto,franco-zanelatto,F. Zanelatto,M,7,330,973650,,,62.977777777778,50.961111111111,18,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,49,962187,,,42.612173913043,82.968695652174,115,Alianza Lima
Marco Huaman,marco-huaman,M. Huaman,D,25,45,1090720,,,40.907142857143,27.721428571429,14,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,585,590312,,,61.109302325581,52.444186046512,43,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,103,981374,,,62.135555555556,16.653333333333,45,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,84,789372,,,47.896825396825,44.253968253968,63,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,215,47418,,,57.111666666667,56.063333333333,60,Alianza Lima
