minute,value
1.0,-1
2.0,-14
3.0,-34
4.0,-23
5.0,-38
6.0,52
7.0,15
8.0,13
9.0,11
10.0,-61
11.0,-69
12.0,-39
13.0,-19
14.0,-26
15.0,-29
16.0,-18
17.0,14
18.0,-40
19.0,-38
20.0,-63
21.0,-44
22.0,-46
23.0,-23
24.0,-5
25.0,-56
26.0,-40
27.0,-22
28.0,-69
29.0,-73
30.0,-48
31.0,-32
32.0,-59
33.0,-28
34.0,31
35.0,24
36.0,24
37.0,12
38.0,-13
39.0,-27
40.0,-26
41.0,-37
42.0,-31
43.0,-19
44.0,-5
45.0,4
45.5,8
46.0,3
47.0,5
48.0,-13
49.0,12
50.0,-51
51.0,-21
52.0,18
53.0,21
54.0,20
55.0,-38
56.0,-13
57.0,-9
58.0,-2
59.0,4
60.0,15
61.0,92
62.0,60
63.0,37
64.0,-55
65.0,-19
66.0,-40
67.0,-17
68.0,-7
69.0,-4
70.0,-2
71.0,1
72.0,43
73.0,29
74.0,18
75.0,-13
76.0,-17
77.0,-3
78.0,3
79.0,3
80.0,5
81.0,7
82.0,25
83.0,40
84.0,20
85.0,-22
86.0,-52
87.0,-34
88.0,-28
89.0,-18
90.0,-10
90.5,24
