name,slug,shortName,position,jerseyNumber,userCount,id,firstName,lastName,averageX,averageY,pointsCount,team
Franco Zanelatto,franco-zanelatto,F. Zanelatto,M,7,329,973650,,,86.433333333333,79.666666666667,3,Alianza Lima
Ricardo Lagos,ricardo-lagos,R. Lagos,D,13,93,973682,,,57.991836734694,81.477551020408,49,Alianza Lima
Ángel De la Cruz,angel-de-la-cruz,Á. D. l. Cruz,G,12,15,1109887,Ángel De la Cruz,,8.9217391304348,51.747826086957,46,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,324,1415942,Catriel Cabellos,,45.54358974359,19.328205128205,39,Alianza Lima
Jesús Castillo,jesus-castillo,J. Castillo,M,15,82,913398,,,51.546153846154,39.507692307692,13,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,50,962187,,,39.205172413793,64.524137931035,58,Alianza Lima
Aldair Fuentes,aldair-fuentes,A. Fuentes,M,20,133,876927,,,29.65,88.65,2,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,215,47418,,,53.075438596491,56.849122807018,57,Alianza Lima
Axel Moyano,axel-moyano,A. Moyano,M,14,39,978545,,,40.95,11.7,2,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,473,31175,,,67.380952380952,56.897619047619,42,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,271,159931,,,63.102380952381,65.888095238095,42,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,105,981374,,,53.357407407407,22.82037037037,54,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,72,874985,,,36.567123287671,39.243835616438,73,Alianza Lima
Adrián Arregui,adrian-arregui,A. Arregui,M,5,86,789372,,,46.267741935484,37.751612903226,62,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,585,590312,,,60.310769230769,46.178461538462,65,Alianza Lima
