minute,value
1.0,24
2.0,32
3.0,-43
4.0,-11
5.0,-10
6.0,-5
7.0,25
8.0,21
9.0,16
10.0,13
11.0,11
12.0,42
13.0,35
14.0,33
15.0,36
16.0,33
17.0,59
18.0,55
19.0,38
20.0,87
21.0,54
22.0,32
23.0,98
24.0,58
25.0,36
26.0,48
27.0,84
28.0,52
29.0,46
30.0,26
31.0,32
32.0,78
33.0,50
34.0,19
35.0,1
36.0,57
37.0,37
38.0,30
39.0,83
40.0,64
41.0,38
42.0,28
43.0,22
44.0,14
45.0,13
45.5,-8
46.0,-2
47.0,30
48.0,-22
49.0,14
50.0,71
51.0,43
52.0,13
53.0,-15
54.0,6
55.0,23
56.0,12
57.0,54
58.0,38
59.0,24
60.0,6
61.0,7
62.0,10
63.0,53
64.0,33
65.0,21
66.0,21
67.0,19
68.0,17
69.0,11
70.0,8
71.0,6
72.0,4
73.0,19
74.0,-30
75.0,-19
76.0,-19
77.0,18
78.0,14
79.0,30
80.0,19
81.0,12
82.0,7
83.0,4
84.0,1
85.0,-14
86.0,-14
87.0,-16
88.0,-28
89.0,-12
90.0,-10
90.5,77
